Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,399.56M,411.89M,424.73M,431.12M,488.75M
Sales Growth,-,3.09%,3.12%,1.51%,13.37%
Cost of Goods Sold (COGS) incl. D&A,205.26M,197.53M,207.15M,199.4M,222.62M
COGS Growth,-,-3.76%,4.87%,-3.74%,11.65%
COGS excluding D&A,177.31M,170.64M,176.6M,174.95M,184.51M
Depreciation & Amortization Expense,27.95M,26.9M,30.55M,24.45M,38.11M
Depreciation,22.21M,20.99M,24.5M,18.16M,16.61M
Amortization of Intangibles,5.74M,5.9M,6.05M,6.29M,21.5M
Gross Income,194.3M,214.36M,217.58M,231.72M,266.13M
Gross Income Growth,-,10.32%,1.50%,6.50%,14.85%
Gross Profit Margin,-,-,-,-,54.45%
SG&A Expense,78.27M,91.59M,85.44M,92.41M,103.76M
SGA Growth,-,17.01%,-6.71%,8.16%,12.28%
Research & Development,-,-,-,-,-
Other SG&A,78.27M,91.59M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,4.07M,9.03M,14.95M,62.49M
EBIT after Unusual Expense,-,(4.07M),(9.03M),(14.95M),(62.49M)
Non Operating Income/Expense,(417K),936K,(2.2M),(1.23M),(568K)
Non-Operating Interest Income,161K,388K,406K,227K,3.75M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,1.5M,1.59M,1.38M,1.4M,17.79M
Interest Expense Growth,-,6.01%,-12.85%,1.30%,"1,168.90%"
Gross Interest Expense,1.5M,1.59M,1.38M,1.4M,17.79M
Interest Capitalized,-,-,-,-,-
Pretax Income,114.28M,118.44M,119.93M,121.96M,85.28M
Pretax Income Growth,-,3.65%,1.26%,1.69%,-30.07%
Pretax Margin,-,-,-,-,17.45%
Income Tax,13.6M,17.38M,12.28M,12.02M,10.37M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,100.68M,101.06M,107.65M,109.94M,74.91M
Minority Interest Expense,-,-,-,-,-
Net Income,100.68M,101.06M,107.65M,109.94M,74.91M
Net Income Growth,-,0.38%,6.52%,2.13%,-31.86%
Net Margin Growth,-,-,-,-,15.33%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,100.68M,101.06M,107.65M,109.94M,74.91M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,100.68M,101.06M,107.65M,109.94M,74.91M
EPS (Basic),2.66,2.68,2.86,2.91,1.97
EPS (Basic) Growth,-,0.67%,6.57%,1.70%,-32.03%
Basic Shares Outstanding,37.81M,37.7M,37.68M,37.84M,37.93M
EPS (Diluted),2.62,2.63,2.79,2.84,1.93
EPS (Diluted) Growth,-,0.41%,6.06%,1.81%,-31.79%
Diluted Shares Outstanding,38.49M,38.48M,38.64M,38.76M,38.72M
EBITDA,143.98M,149.67M,162.69M,163.76M,200.49M
EBITDA Growth,-,3.95%,8.70%,0.66%,22.43%
EBITDA Margin,-,-,-,-,41.02%
