Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.25B,1.3B,1.33B,1.3B,1.28B
Sales Growth,-,3.38%,2.28%,-2.28%,-1.24%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,95.32M,88.63M,101.23M,88.06M,85.14M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,649.42M,684.23M,734.61M,671.67M,662.26M
Total Interest Expense,200.89M,200.18M,193.77M,185.55M,187.72M
Depreciation & Amortization Expense,315.73M,311.38M,319.86M,310.16M,298.27M
Other Operating Expense,29.37M,31.25M,56.34M,38.22M,40.72M
Operating Income,604.72M,612.32M,591.53M,624.25M,617.59M
Operating Income Growth,-,1.26%,-3.40%,5.53%,-1.07%
Non-Operating Income (Expense),475K,160.23M,19.11M,387K,401K
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,475K,160.23M,19.11M,387K,401K
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,28.59M,20.29M,12.4M,-
Pretax Income,404.3M,543.79M,396.58M,426.69M,430.27M
Pretax Income Growth,-,34.50%,-27.07%,7.59%,0.84%
Pretax Margin,-,-,-,-,34.10%
Income Taxes,47M,67.26M,48.83M,(1.44M),24.35M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,348.55M,198.52M,220.7M,81.18M,190.07M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,705.87M,778.65M,573.73M,479.77M,560.3M
Minority Interest Expense,87.78M,97.88M,69.66M,60.85M,71.9M
Net Income,618.09M,680.77M,504.07M,418.93M,488.4M
Net Income Growth,-,10.14%,-25.96%,-16.89%,16.58%
Net Margin Growth,-,-,-,-,38.16%
Extraordinaries & Discontinued Operations,23K,103.6M,-,-,-
Extra Items & Gain/Loss Sale Of Assets,23K,103.6M,5.28M,(29.54M),(35.69M)
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,618.11M,784.37M,509.35M,389.39M,452.71M
Preferred Dividends,834K,834K,834K,834K,834K
Net Income Available to Common,617.23M,576.34M,497.96M,447.63M,523.26M
EPS (Basic),1.88,1.75,1.52,1.39,1.62
EPS (Basic) Growth,-,-6.63%,-13.60%,-8.39%,16.78%
Basic Shares Outstanding,328.59M,328.62M,328.62M,328.61M,328.44M
EPS (Diluted),1.88,1.75,1.52,1.39,1.62
EPS (Diluted) Growth,-,-6.63%,-13.60%,-8.39%,16.78%
Diluted Shares Outstanding,328.59M,328.62M,328.62M,328.61M,328.44M
