Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,11.84B,12.08B,12.53B,13.85B,11.41B
Sales Growth,-,1.98%,3.77%,10.55%,-17.67%
Cost of Goods Sold (COGS) incl. D&A,-,8.55B,8.85B,10.13B,8.31B
COGS Growth,-,-,3.50%,14.49%,-18.00%
COGS excluding D&A,-,8.34B,8.63B,9.91B,8.09B
Depreciation & Amortization Expense,-,215.18M,217.05M,220.39M,219.61M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,3.27B,3.53B,3.68B,3.72B,3.1B
Gross Income Growth,-,7.80%,4.40%,1.10%,-16.76%
Gross Profit Margin,-,-,-,-,27.16%
SG&A Expense,-,2.24B,2.29B,2.55B,2.07B
SGA Growth,-,-,2.22%,11.51%,-18.89%
Research & Development,-,-,-,-,-
Other SG&A,-,2.24B,2.3B,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,204.42M,(6.81M),(93.93M),157.28M
EBIT after Unusual Expense,-,(204.42M),6.81M,93.93M,(157.28M)
Non Operating Income/Expense,-,-,-,-,-
Non-Operating Interest Income,-,1.1M,1.4M,736K,2.5M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,29.76M,22.07M,20.32M,21.29M
Interest Expense Growth,-,-,-25.83%,-7.96%,4.76%
Gross Interest Expense,-,30.46M,22.87M,21.4M,22.89M
Interest Capitalized,-,700K,800K,1.08M,1.6M
Pretax Income,1.09B,1.05B,1.38B,1.24B,852.28M
Pretax Income Growth,-,-2.88%,30.80%,-9.87%,-31.43%
Pretax Margin,-,-,-,-,7.47%
Income Tax,276.25M,268.65M,356.04M,302.69M,264.8M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,809.34M,785.68M,1.02B,940.2M,587.47M
Minority Interest Expense,-,-,-,-,-
Net Income,-,785.68M,1.02B,940.2M,587.47M
Net Income Growth,-,-,30.21%,-8.09%,-37.52%
Net Margin Growth,-,-,-,-,5.15%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,785.68M,1.02B,940.2M,587.47M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,785.68M,1.02B,940.2M,587.47M
EPS (Basic),-,0.65,0.85,-,0.5
EPS (Basic) Growth,-,-,30.67%,-,-
Basic Shares Outstanding,-,1.21B,1.2B,-,1.18B
EPS (Diluted),-,0.64,0.84,0.78,0.49
EPS (Diluted) Growth,-,-,30.73%,-7.25%,-36.71%
Diluted Shares Outstanding,1.18B,1.22B,1.22B,1.2B,1.19B
EBITDA,-,1.5B,1.61B,1.39B,1.25B
EBITDA Growth,-,-,7.14%,-13.64%,-10.25%
EBITDA Margin,-,-,-,-,10.94%
