Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,435.67M,480.66M,457.72M,505.23M,462.47M
Sales Growth,-,10.33%,-4.77%,10.38%,-8.46%
Cost of Goods Sold (COGS) incl. D&A,102.59M,107.44M,103.6M,101.79M,110.93M
COGS Growth,-,4.73%,-3.57%,-1.75%,8.98%
COGS excluding D&A,71.01M,75.6M,81.51M,71.73M,80.33M
Depreciation & Amortization Expense,31.58M,31.83M,22.09M,30.06M,30.6M
Depreciation,15.81M,24.15M,7.11M,15.69M,15.07M
Amortization of Intangibles,15.77M,7.69M,14.98M,14.37M,15.53M
Gross Income,333.08M,373.22M,354.12M,403.44M,351.55M
Gross Income Growth,-,12.05%,-5.12%,13.93%,-12.86%
Gross Profit Margin,-,-,-,-,76.01%
SG&A Expense,259.03M,256.26M,256.9M,241.91M,260.76M
SGA Growth,-,-1.07%,0.25%,-5.84%,7.79%
Research & Development,78.13M,78.4M,80.53M,81.94M,88.17M
Other SG&A,180.9M,178.05M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,201K,1.58M,27.31M,46.6M,10.3M
EBIT after Unusual Expense,(201K),(1.58M),(27.31M),(46.6M),(10.3M)
Non Operating Income/Expense,(2.6M),66.49M,(2.05M),373K,33.44M
Non-Operating Interest Income,400K,500K,500K,500K,600K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,13.18M,12.86M,12.99M,12.24M,13.76M
Interest Expense Growth,-,-2.44%,1.01%,-5.75%,12.41%
Gross Interest Expense,13.18M,12.86M,12.99M,12.24M,13.76M
Interest Capitalized,-,-,-,-,-
Pretax Income,58.47M,169.52M,55.38M,103.57M,100.78M
Pretax Income Growth,-,189.93%,-67.33%,87.02%,-2.69%
Pretax Margin,-,-,-,-,21.79%
Income Tax,7.27M,(123.42M),9.29M,13.89M,30.3M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,51.2M,292.94M,46.09M,89.68M,70.48M
Minority Interest Expense,-,-,-,-,-
Net Income,51.2M,292.94M,46.09M,89.68M,70.48M
Net Income Growth,-,472.12%,-84.27%,94.58%,-21.41%
Net Margin Growth,-,-,-,-,15.24%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,51.2M,292.94M,46.09M,89.68M,70.48M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,51.2M,292.94M,46.09M,89.68M,70.48M
EPS (Basic),0.44,2.5,0.39,0.77,0.6
EPS (Basic) Growth,-,470.66%,-84.28%,95.11%,-21.45%
Basic Shares Outstanding,116.93M,117.23M,117.35M,117.01M,117.07M
EPS (Diluted),0.43,2.46,0.39,0.76,0.6
EPS (Diluted) Growth,-,470.60%,-84.22%,95.88%,-21.52%
Diluted Shares Outstanding,118.61M,118.92M,118.6M,117.81M,117.97M
EBITDA,105.63M,148.8M,119.31M,191.59M,121.39M
EBITDA Growth,-,40.87%,-19.82%,60.58%,-36.64%
EBITDA Margin,-,-,-,-,26.25%
