Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,4.17B,2.56B,2.01B,2.67B,5.63B
Sales Growth,-,-38.63%,-21.63%,33.18%,110.70%
Cost of Goods Sold (COGS) incl. D&A,649M,519M,470M,686M,945M
COGS Growth,-,-20.03%,-9.44%,45.96%,37.76%
COGS excluding D&A,519M,389M,338M,449M,714M
Depreciation & Amortization Expense,130M,130M,132M,237M,231M
Depreciation,62M,61M,63M,73M,68M
Amortization of Intangibles,68M,69M,69M,164M,163M
Gross Income,3.52B,2.04B,1.54B,1.99B,4.69B
Gross Income Growth,-,-42.05%,-24.73%,29.28%,135.88%
Gross Profit Margin,-,-,-,-,83.22%
SG&A Expense,1.61B,1.64B,1.34B,1.88B,2.29B
SGA Growth,-,1.86%,-18.17%,40.01%,21.98%
Research & Development,464M,521M,530M,590M,600M
Other SG&A,1.15B,1.12B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,52M,-
EBIT after Unusual Expense,-,-,-,(52M),-
Non Operating Income/Expense,11M,5M,45M,(5M),(3M)
Non-Operating Interest Income,3M,3M,5M,-,2M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,7M,7M,7M,21M,21M
Interest Expense Growth,-,0.00%,0.00%,200.00%,0.00%
Gross Interest Expense,7M,7M,7M,21M,21M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.92B,403M,238M,30M,2.37B
Pretax Income Growth,-,-79.02%,-40.94%,-87.39%,"7,810.00%"
Pretax Margin,-,-,-,-,42.13%
Income Tax,457M,23M,10M,(70M),579M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.46B,380M,228M,100M,1.79B
Minority Interest Expense,-,-,-,-,-
Net Income,1.46B,380M,228M,100M,1.79B
Net Income Growth,-,-74.04%,-40.00%,-56.14%,"1,694.00%"
Net Margin Growth,-,-,-,-,31.85%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.46B,380M,228M,100M,1.79B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.46B,380M,228M,100M,1.79B
EPS (Basic),5.36,1.39,0.84,0.35,6.36
EPS (Basic) Growth,-,-74.04%,-40.00%,-57.69%,"1,700.14%"
Basic Shares Outstanding,273M,273M,273M,283M,282M
EPS (Diluted),5.3,1.37,0.82,0.35,6.27
EPS (Diluted) Growth,-,-74.14%,-40.00%,-57.67%,"1,700.43%"
Diluted Shares Outstanding,276M,277M,277M,287M,286M
EBITDA,2.04B,532M,327M,345M,2.63B
EBITDA Growth,-,-73.97%,-38.53%,5.50%,661.16%
EBITDA Margin,-,-,-,-,46.63%
