Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Interest Income,2.94B,3.12B,3.01B,3.21B,4.85B
Interest Income Growth,-,6.06%,-3.43%,6.71%,51.03%
Interest and Fees on Loans,1.3B,1.36B,1.44B,1.55B,1.9B
Interest Income on Fed. Funds,(250M),(220M),(329M),(202M),372M
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,7M,(13M),(15M),8M,277M
Other Interest or Dividend Income,1.89B,1.99B,1.91B,1.86B,2.3B
Total Internest Expense,1.31B,1.55B,1.22B,1.39B,3.12B
Total Internest Expense Growth,-,18.55%,-21.76%,13.99%,125.05%
Interest Expense on Bank Deposits,316M,319M,325M,370M,794M
Other Interest Expense,969M,1.2B,-,-,-
Interest Expense on Debt,901M,958M,848M,831M,1.28B
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,68M,243M,83M,173M,736M
Net Interest Income,1.63B,1.56B,1.8B,1.83B,1.73B
Net Interest Income Growth,-,-3.99%,14.77%,1.78%,-5.09%
Loan Loss Provision,(92M),175M,344M,561M,667M
Loan Loss Provision Growth,-,290.22%,96.57%,63.08%,18.89%
Net Interest Income after Provision,1.72B,1.39B,1.45B,1.27B,1.07B
Net Interest Inc After Loan Loss Prov Growth,-,-19.29%,4.46%,-12.75%,-15.72%
Net Interest Margin,-,-,-,-,0.53%
Non-Interest Income,13.66B,11.56B,10.43B,9.97B,8.13B
Securities Gain,4.45B,507M,980M,(3.15B),(4.5B)
Trading Account Income,3.09B,2.15B,1.15B,1.85B,842M
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,4.28B,4.41B,4.46B,3.14B,2.86B
Other Operating Income,-,585M,494M,1.97B,2.49B
Non-Interest Expense,8.31B,6.06B,6.68B,6.46B,5.56B
Labor & Related Expense,5.26B,3.17B,3.25B,4.08B,3.7B
Equipment Expense,241M,239M,254M,251M,259M
Other Operating Expense,2.42B,2.65B,3.13B,2.78B,3.09B
Operating Income,7.07B,6.89B,5.21B,4.78B,3.64B
Operating Income Growth,-,-2.43%,-24.47%,-8.18%,-23.97%
Operating Income Margin,-,-,-,-,42.88%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,226M,52M,182M,125M,91M
Pretax Income,6.84B,6.84B,5.03B,4.66B,3.54B
Pretax Income Growth,-,0.03%,-26.56%,-7.34%,-23.88%
Pretax Margin,-,-,-,-,42.05%
Income Taxes,1.35B,1.46B,1.09B,717M,617M
Income Tax - Current - Domestic,-,-,-,-,-
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,-,-,-,-,-
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,5.49B,5.38B,3.94B,3.94B,2.93B
Minority Interest Expense,-,-,-,-,-
Net Income,5.49B,5.38B,3.94B,3.94B,2.93B
Net Income Growth,-,-1.97%,-26.83%,0.10%,-25.69%
Net Income Margin,-,-,-,-,33.64%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,139M,94M,126M,108M,141M
Net Income Available to Common,5.35B,5.28B,3.81B,3.83B,2.79B
EPS (Basic),15.24,15.17,10.99,10.91,7.85
EPS (Basic) Grwoth,-,-0.47%,-27.56%,-0.74%,-28.06%
Basic Shares Outstanding,350.8M,348.3M,346.6M,351.2M,355M
EPS (Diluted),15.02,14.93,10.81,10.76,7.73
EPS (Diluted) Growth,-,-0.59%,-27.59%,-0.44%,-28.21%
Diluted Shares Outstanding,356M,353.9M,352.3M,355.9M,360.5M
