Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,4.58B,4.8B,4.57B,5.02B,4.33B
Sales Growth,-,4.84%,-4.80%,9.75%,-13.69%
Cost of Goods Sold (COGS) incl. D&A,-,3.41B,3.33B,3.77B,3.2B
COGS Growth,-,-,-2.49%,13.46%,-15.30%
COGS excluding D&A,-,3.32B,3.24B,3.68B,3.1B
Depreciation & Amortization Expense,-,86.58M,88.05M,98.53M,92.11M
Depreciation,-,86.58M,88.05M,98.53M,92.11M
Amortization of Intangibles,-,-,-,-,-
Gross Income,1.18B,1.39B,1.25B,1.25B,1.14B
Gross Income Growth,-,17.80%,-10.44%,-0.12%,-8.85%
Gross Profit Margin,-,-,-,-,26.23%
SG&A Expense,-,717.79M,725.76M,755.87M,669.5M
SGA Growth,-,-,1.11%,4.15%,-11.43%
Research & Development,-,-,-,-,-
Other SG&A,-,717.79M,725.76M,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,-,-,-,-,-
Non-Operating Interest Income,-,199K,192K,206K,1.2M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,18.91M,18.94M,18.03M,18.89M
Interest Expense Growth,-,-,0.16%,-4.76%,4.75%
Gross Interest Expense,-,22.5M,22.62M,22M,21.54M
Interest Capitalized,-,3.59M,3.68M,3.97M,2.65M
Pretax Income,505.74M,657.61M,504.03M,473.32M,449.46M
Pretax Income Growth,-,30.03%,-23.35%,-6.09%,-5.04%
Pretax Margin,-,-,-,-,10.37%
Income Tax,121.23M,163.35M,119M,106.5M,111.02M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,384.52M,494.26M,385.03M,366.82M,338.45M
Minority Interest Expense,-,-,-,-,-
Net Income,-,494.26M,385.03M,366.82M,338.45M
Net Income Growth,-,-,-22.10%,-4.73%,-7.74%
Net Margin Growth,-,-,-,-,7.81%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,494.26M,385.03M,366.82M,338.45M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,494.26M,385.03M,366.82M,338.45M
EPS (Basic),1.11,1.4,1.1,1.05,0.98
EPS (Basic) Growth,-,25.63%,-21.70%,-4.18%,-7.20%
Basic Shares Outstanding,344.88M,352.87M,351.07M,349.06M,347.05M
EPS (Diluted),-,1.39,1.09,1.04,0.97
EPS (Diluted) Growth,-,-,-21.69%,-4.24%,-7.09%
Diluted Shares Outstanding,346.11M,354.94M,353.08M,351.25M,348.82M
EBITDA,-,762.9M,610.82M,589.67M,559.27M
EBITDA Growth,-,-,-19.93%,-3.46%,-5.16%
EBITDA Margin,-,-,-,-,12.91%
