Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,18.52B,16.91B,20.09B,15.76B,15.56B
Sales Growth,-,-8.74%,18.83%,-21.57%,-1.27%
Premiums Earned,9.13B,9.46B,13.1B,10.77B,11.72B
Total Investment Income,5.28B,5.57B,5.23B,4.28B,3.58B
Realized Gains (Losses),1.61B,(127M),(19M),(558M),(446M)
Other Operating Income,2.51B,2.01B,1.78B,1.26B,698M
"Losses, Claims & Reserves",11.16B,11.58B,15.51B,12.02B,12.48B
"Losses, Claims & Reserves Growth",-,3.79%,33.97%,-22.51%,3.78%
"Losses, Benefits & Adjustments",9.41B,10.1B,13.92B,11.19B,11.79B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",2.65B,3.04B,3.05B,2.8B,2.86B
SGA Growth,-,14.74%,0.10%,-8.27%,2.22%
"Selling, General & Admin. Expenses",2.15B,2.55B,2.48B,2.26B,2.35B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,652M,688M,650M,681M,678M
Other Operating Expense,505M,497M,571M,536M,512M
Operating Income Before Interest Expense,4.72B,2.28B,1.53B,940M,224M
Operating Income Growth,-,-51.60%,-32.95%,-38.56%,-76.17%
"Interest Expense, Net of Interest Capitalized",228M,240M,224M,225M,226M
Interest Expense (excl. Interest Capitalized),228M,240M,224M,225M,226M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,4.72B,2.28B,1.53B,940M,224M
Non-Operating Income (Expense),-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,-,-
Pretax Income,4.49B,2.04B,1.31B,715M,(2M)
Pretax Income Growth,-,-54.49%,-36.04%,-45.25%,-100.28%
Income Tax,1.08B,453M,95M,41M,(140M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,3.41B,1.59B,1.21B,674M,138M
Minority Interest Expense,5M,5M,6M,5M,6M
Net Income,3.41B,1.58B,1.21B,669M,132M
Net Income Growth,-,-53.51%,-23.93%,-44.48%,-80.27%
Net Margin Growth,-,-,-,-,0.85%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,3.41B,1.58B,1.21B,669M,132M
Preferred Dividends,41M,63M,29M,63M,29M
Net Income Available to Common,3.37B,1.52B,1.18B,606M,103M
EPS (Basic),3.85,1.78,1.42,0.74,0.13
EPS (Basic) Growth,-,-53.84%,-20.13%,-48.23%,-82.71%
Basic Shares Outstanding,873.3M,854.9M,827.57M,823.8M,809.7M
EPS (Diluted),3.83,1.77,1.39,0.73,0.13
EPS (Diluted) Growth,-,-53.84%,-21.22%,-47.56%,-82.66%
Diluted Shares Outstanding,879.7M,861.2M,845.2M,830.5M,814.5M
