Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,22.57B,21.94B,23.4B,23.64B,24.39B
Sales Growth,-,-2.78%,6.68%,1.01%,3.19%
Cost of Goods Sold (COGS) incl. D&A,17.38B,17.42B,18.53B,18.75B,18.65B
COGS Growth,-,0.24%,6.40%,1.18%,-0.55%
COGS excluding D&A,16.4B,16.45B,17.54B,17.76B,17.63B
Depreciation & Amortization Expense,975M,971M,995M,986M,1.02B
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,5.19B,4.52B,4.87B,4.89B,5.75B
Gross Income Growth,-,-12.87%,7.76%,0.39%,17.52%
Gross Profit Margin,-,-,-,-,23.56%
SG&A Expense,3.22B,3.09B,3.3B,3.43B,3.86B
SGA Growth,-,-4.03%,6.76%,3.88%,12.45%
Research & Development,-,-,-,-,-
Other SG&A,3.22B,3.09B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,563M,31M,(26M),136M,(32M)
EBIT after Unusual Expense,(563M),(31M),26M,(136M),32M
Non Operating Income/Expense,1.4B,219M,(62M),212M,(1.08B)
Non-Operating Interest Income,-,-,-,-,53M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,186M,160M,155M,163M,211M
Interest Expense Growth,-,-13.98%,-3.13%,5.16%,29.45%
Gross Interest Expense,186M,160M,155M,163M,211M
Interest Capitalized,-,-,-,-,-
Pretax Income,2.61B,1.46B,1.38B,1.38B,684M
Pretax Income Growth,-,-44.24%,-5.28%,-0.36%,-50.25%
Pretax Margin,-,-,-,-,2.80%
Income Tax,745M,345M,336M,263M,126M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(4M),(2M),(2M),(2M),(1M)
Consolidated Net Income,1.86B,1.11B,1.04B,1.11B,557M
Minority Interest Expense,-,-,-,-,-
Net Income,1.86B,1.11B,1.04B,1.11B,557M
Net Income Growth,-,-40.45%,-6.13%,6.53%,-49.82%
Net Margin Growth,-,-,-,-,2.28%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.86B,1.11B,1.04B,1.11B,557M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.86B,1.11B,1.04B,1.11B,557M
EPS (Basic),6.97,4.17,3.93,4.25,2.14
EPS (Basic) Growth,-,-40.15%,-5.77%,8.16%,-49.60%
Basic Shares Outstanding,267.35M,266M,265M,261M,259.85M
EPS (Diluted),6.88,4.1,3.89,4.19,2.13
EPS (Diluted) Growth,-,-40.48%,-5.07%,7.73%,-49.05%
Diluted Shares Outstanding,271M,271M,268M,265M,261M
EBITDA,2.94B,2.4B,2.57B,2.45B,2.91B
EBITDA Growth,-,-18.42%,6.92%,-4.60%,18.87%
EBITDA Margin,-,-,-,-,11.93%
