Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,589.54M,646.86M,599.25M,609.17M,635.4M
Sales Growth,-,9.72%,-7.36%,1.66%,4.31%
Cost of Goods Sold (COGS) incl. D&A,251.84M,281.59M,268.1M,269.03M,277.77M
COGS Growth,-,11.81%,-4.79%,0.35%,3.25%
COGS excluding D&A,226.52M,254.69M,242.45M,243.64M,252.8M
Depreciation & Amortization Expense,25.32M,26.9M,25.65M,25.39M,24.97M
Depreciation,12.7M,14.22M,13.48M,12.31M,12.39M
Amortization of Intangibles,12.62M,12.68M,12.17M,13.09M,12.57M
Gross Income,337.7M,365.27M,331.15M,340.13M,357.64M
Gross Income Growth,-,8.16%,-9.34%,2.71%,5.15%
Gross Profit Margin,-,-,-,-,56.28%
SG&A Expense,171.31M,177M,179.72M,184.27M,173.66M
SGA Growth,-,3.32%,1.54%,2.54%,-5.76%
Research & Development,-,-,-,-,-
Other SG&A,171.31M,177M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,776K,512K,1.88M,(364K),(999K)
EBIT after Unusual Expense,(776K),(512K),(1.88M),364K,999K
Non Operating Income/Expense,(3.07M),(1.72M),(5M),928K,(40.76M)
Non-Operating Interest Income,449K,492K,829K,465K,419K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,7.14M,6.14M,5.28M,5.65M,5.36M
Interest Expense Growth,-,-14.01%,-13.98%,6.99%,-5.12%
Gross Interest Expense,7.14M,6.14M,5.28M,5.65M,5.36M
Interest Capitalized,-,-,-,-,-
Pretax Income,155.86M,180.4M,140.11M,151.97M,139.27M
Pretax Income Growth,-,15.74%,-22.33%,8.46%,-8.36%
Pretax Margin,-,-,-,-,21.92%
Income Tax,31.71M,38.22M,29.65M,31.56M,29.63M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,124.14M,142.18M,110.46M,120.41M,109.63M
Minority Interest Expense,-,-,-,-,-
Net Income,124.14M,142.18M,110.46M,120.41M,109.63M
Net Income Growth,-,14.53%,-22.31%,9.01%,-8.95%
Net Margin Growth,-,-,-,-,17.25%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,124.14M,142.18M,110.46M,120.41M,109.63M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,124.14M,142.18M,110.46M,120.41M,109.63M
EPS (Basic),2.14,2.45,1.9,2.07,1.9
EPS (Basic) Growth,-,14.44%,-22.33%,8.96%,-8.37%
Basic Shares Outstanding,58.07M,58.11M,58.12M,58.15M,57.78M
EPS (Diluted),2.12,2.42,1.88,2.05,1.88
EPS (Diluted) Growth,-,14.37%,-22.39%,8.96%,-8.27%
Diluted Shares Outstanding,58.65M,58.74M,58.79M,58.82M,58.38M
EBITDA,191.71M,215.17M,177.09M,181.25M,208.94M
EBITDA Growth,-,12.24%,-17.70%,2.35%,15.28%
EBITDA Margin,-,-,-,-,32.88%
