Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,6.34B,6.39B,5.86B,6.1B,6.61B
Sales Growth,-,0.80%,-8.29%,4.03%,8.46%
Cost of Goods Sold (COGS) incl. D&A,4.16B,4.2B,3.98B,4.14B,4.43B
COGS Growth,-,0.99%,-5.17%,4.04%,6.81%
COGS excluding D&A,3.95B,3.98B,3.76B,3.94B,4.22B
Depreciation & Amortization Expense,208M,218M,224M,208M,201M
Depreciation,96M,103M,106M,102M,99M
Amortization of Intangibles,112M,115M,118M,106M,102M
Gross Income,2.18B,2.19B,1.88B,1.96B,2.19B
Gross Income Growth,-,0.46%,-14.27%,3.99%,11.97%
Gross Profit Margin,-,-,-,-,33.10%
SG&A Expense,1.37B,1.34B,1.37B,1.45B,1.59B
SGA Growth,-,-2.12%,2.38%,5.39%,9.46%
Research & Development,-,-,-,-,-
Other SG&A,1.37B,1.34B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,95M,22M,(53M),392M,140M
EBIT after Unusual Expense,(95M),(22M),53M,(392M),(140M)
Non Operating Income/Expense,22M,6M,6M,14M,19M
Non-Operating Interest Income,1M,2M,2M,1M,2M
Equity in Affiliates (Pretax),74M,73M,70M,42M,63M
Interest Expense,45M,104M,147M,62M,44M
Interest Expense Growth,-,131.11%,41.35%,-57.82%,-29.03%
Gross Interest Expense,45M,104M,147M,62M,44M
Interest Capitalized,-,-,-,-,-
Pretax Income,769M,806M,490M,110M,504M
Pretax Income Growth,-,4.81%,-39.21%,-77.55%,358.18%
Pretax Margin,-,-,-,-,7.62%
Income Tax,108M,490M,71M,58M,61M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,661M,316M,419M,52M,443M
Minority Interest Expense,87M,47M,38M,41M,64M
Net Income,574M,269M,381M,11M,379M
Net Income Growth,-,-53.14%,41.64%,-97.11%,"3,345.45%"
Net Margin Growth,-,-,-,-,5.73%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,574M,269M,381M,11M,379M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,574M,269M,381M,11M,379M
EPS (Basic),0.8,0.38,0.54,0.02,0.55
EPS (Basic) Growth,-,-52.95%,43.12%,-97.10%,"3,387.26%"
Basic Shares Outstanding,714.5M,711.7M,704.3M,699.1M,692.2M
EPS (Diluted),0.8,0.38,0.54,0.02,0.55
EPS (Diluted) Growth,-,-52.96%,43.12%,-97.09%,"3,396.15%"
Diluted Shares Outstanding,719.7M,717M,709.5M,702.7M,694.9M
EBITDA,1.02B,1.07B,730M,715M,805M
EBITDA Growth,-,4.80%,-31.71%,-2.05%,12.59%
EBITDA Margin,-,-,-,-,12.17%
