Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,8.19B,7.99B,7.85B,7.76B,8.09B
Sales Growth,-,-2.45%,-1.75%,-1.07%,4.20%
Cost of Goods Sold (COGS) incl. D&A,3.07B,3B,2.9B,2.87B,3B
COGS Growth,-,-2.09%,-3.47%,-1.10%,4.71%
COGS excluding D&A,2.38B,2.33B,2.22B,2.19B,2.31B
Depreciation & Amortization Expense,684M,671M,676M,672M,688M
Depreciation,238M,235M,245M,240M,253M
Amortization of Intangibles,446M,436M,431M,432M,435M
Gross Income,5.12B,4.99B,4.95B,4.9B,5.09B
Gross Income Growth,-,-2.67%,-0.72%,-1.05%,3.90%
Gross Profit Margin,-,-,-,-,62.91%
SG&A Expense,3.17B,3.27B,3.26B,3.18B,3.18B
SGA Growth,-,3.09%,-0.37%,-2.37%,-0.03%
Research & Development,632M,750M,676M,657M,652M
Other SG&A,2.54B,2.52B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,240M,80M,109M,181M,140M
EBIT after Unusual Expense,(240M),(80M),(109M),(181M),(140M)
Non Operating Income/Expense,(52M),(669M),43M,187M,(27M)
Non-Operating Interest Income,48M,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,142M,137M,136M,137M,143M
Interest Expense Growth,-,-3.52%,-0.73%,0.74%,4.38%
Gross Interest Expense,142M,137M,136M,137M,143M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.57B,833M,1.49B,1.59B,1.6B
Pretax Income Growth,-,-46.84%,79.23%,6.43%,0.82%
Pretax Margin,-,-,-,-,19.80%
Income Tax,200M,64M,176M,106M,110M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.37B,769M,1.32B,1.48B,1.49B
Minority Interest Expense,6M,6M,6M,4M,6M
Net Income,1.36B,763M,1.31B,1.48B,1.49B
Net Income Growth,-,-43.94%,71.82%,12.81%,0.47%
Net Margin Growth,-,-,-,-,18.37%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.36B,763M,1.31B,1.48B,1.49B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.36B,763M,1.31B,1.48B,1.49B
EPS (Basic),1.01,0.57,0.97,1.1,1.11
EPS (Basic) Growth,-,-43.82%,71.74%,13.01%,0.80%
Basic Shares Outstanding,1.35B,1.34B,1.35B,1.34B,1.34B
EPS (Diluted),1,0.56,0.97,1.1,1.1
EPS (Diluted) Growth,-,-43.86%,71.96%,13.31%,0.75%
Diluted Shares Outstanding,1.36B,1.36B,1.36B,1.35B,1.34B
EBITDA,2.64B,2.39B,2.37B,2.39B,2.6B
EBITDA Growth,-,-9.40%,-0.79%,0.89%,8.70%
EBITDA Margin,-,-,-,-,32.14%
