Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.88B,3.17B,3.7B,3.89B,3.7B
Sales Growth,-,9.85%,16.92%,5.08%,-4.99%
Cost of Goods Sold (COGS) incl. D&A,2.19B,2.38B,2.8B,2.74B,2.7B
COGS Growth,-,8.39%,17.93%,-2.25%,-1.31%
COGS excluding D&A,1.73B,1.91B,2.32B,2.25B,2.2B
Depreciation & Amortization Expense,463M,471M,479M,493M,501M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,691M,791M,901M,1.15B,994M
Gross Income Growth,-,14.47%,13.91%,27.86%,-13.72%
Gross Profit Margin,-,-,-,-,26.89%
SG&A Expense,138M,151M,154M,162M,150M
SGA Growth,-,9.42%,1.99%,5.19%,-7.41%
Research & Development,-,-,-,-,-
Other SG&A,138M,151M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,94M,1.71B,(147M),145M,225M
EBIT after Unusual Expense,(94M),(1.71B),147M,(145M),(225M)
Non Operating Income/Expense,67M,(50M),27M,39M,5M
Non-Operating Interest Income,15M,16M,19M,25M,15M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,260M,261M,405M,244M,275M
Interest Expense Growth,-,0.38%,55.17%,-39.75%,12.70%
Gross Interest Expense,315M,313M,456M,301M,335M
Interest Capitalized,55M,52M,51M,57M,60M
Pretax Income,281M,(1.37B),535M,665M,364M
Pretax Income Growth,-,-585.77%,139.19%,24.30%,-45.26%
Pretax Margin,-,-,-,-,9.85%
Income Tax,139M,(342M),144M,334M,80M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,313M,391M,321M,326M,375M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,455M,(632M),712M,657M,659M
Minority Interest Expense,10M,5M,97M,34M,88M
Net Income,445M,(637M),615M,623M,571M
Net Income Growth,-,-243.15%,196.55%,1.30%,-8.35%
Net Margin Growth,-,-,-,-,15.44%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,445M,(637M),615M,623M,571M
Preferred Dividends,21M,11M,11M,11M,12M
Net Income Available to Common,424M,(648M),604M,612M,559M
EPS (Basic),1.38,(2.03),1.89,1.93,1.78
EPS (Basic) Growth,-,-247.40%,193.29%,2.14%,-8.22%
Basic Shares Outstanding,307.8M,319.14M,318.89M,316.35M,314.85M
EPS (Diluted),1.37,(2.03),1.89,1.93,1.77
EPS (Diluted) Growth,-,-247.78%,193.10%,1.99%,-8.21%
Diluted Shares Outstanding,308.61M,319.14M,319.51M,317.43M,315.87M
EBITDA,1.02B,1.11B,1.23B,1.48B,1.35B
EBITDA Growth,-,9.35%,10.35%,20.96%,-9.31%
EBITDA Margin,-,-,-,-,36.38%
