Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,814M,907M,991M,1.03B,988M
Sales Growth,-,11.43%,9.26%,3.94%,-4.08%
Cost of Goods Sold (COGS) incl. D&A,314M,353M,404M,415M,370M
COGS Growth,-,12.42%,14.45%,2.72%,-10.84%
COGS excluding D&A,295M,334M,383M,395M,351M
Depreciation & Amortization Expense,19M,19M,21M,20M,19M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,500M,554M,587M,615M,618M
Gross Income Growth,-,10.80%,5.96%,4.77%,0.49%
Gross Profit Margin,-,-,-,-,62.55%
SG&A Expense,332M,258M,269M,279M,322M
SGA Growth,-,-22.29%,4.26%,3.72%,15.41%
Research & Development,-,-,-,-,-
Other SG&A,332M,258M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,(3M),-,(4M),(10M)
EBIT after Unusual Expense,-,3M,-,4M,10M
Non Operating Income/Expense,(2M),(10M),2M,7M,(71M)
Non-Operating Interest Income,1M,1M,1M,1M,2M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,20M,21M,20M,20M,21M
Interest Expense Growth,-,5.00%,-4.76%,0.00%,5.00%
Gross Interest Expense,20M,21M,20M,20M,21M
Interest Capitalized,-,-,-,-,-
Pretax Income,147M,269M,301M,328M,216M
Pretax Income Growth,-,82.99%,11.90%,8.97%,-34.15%
Pretax Margin,-,-,-,-,21.86%
Income Tax,27M,77M,65M,69M,65M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,120M,192M,236M,259M,151M
Minority Interest Expense,-,-,-,-,-
Net Income,120M,192M,236M,259M,151M
Net Income Growth,-,60.00%,22.92%,9.75%,-41.70%
Net Margin Growth,-,-,-,-,15.28%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,120M,192M,236M,259M,151M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,120M,192M,236M,259M,151M
EPS (Basic),0.25,0.4,0.49,0.54,0.32
EPS (Basic) Growth,-,59.95%,22.89%,9.74%,-41.70%
Basic Shares Outstanding,478.7M,478.79M,478.86M,478.89M,478.98M
EPS (Diluted),0.25,0.4,0.49,0.54,0.31
EPS (Diluted) Growth,-,60.02%,22.96%,9.75%,-41.69%
Diluted Shares Outstanding,480.71M,480.72M,480.52M,480.57M,480.46M
EBITDA,187M,315M,339M,356M,315M
EBITDA Growth,-,68.45%,7.62%,5.01%,-11.52%
EBITDA Margin,-,-,-,-,31.88%
