Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,13.1B,13.13B,12.9B,12.72B,12.84B
Sales Growth,-,0.18%,-1.72%,-1.40%,0.90%
Cost of Goods Sold (COGS) incl. D&A,-,4.86B,4.84B,4.65B,4.79B
COGS Growth,-,-,-0.49%,-3.95%,3.12%
COGS excluding D&A,-,4.37B,4.3B,4.13B,4.31B
Depreciation & Amortization Expense,-,489M,533M,516M,478M
Depreciation,-,211M,247M,236M,206M
Amortization of Intangibles,-,278M,286M,280M,272M
Gross Income,8.19B,8.27B,8.06B,8.07B,8.04B
Gross Income Growth,-,0.95%,-2.44%,0.14%,-0.37%
Gross Profit Margin,-,-,-,-,62.67%
SG&A Expense,-,4.68B,4.53B,4.42B,4.39B
SGA Growth,-,-,-3.23%,-2.39%,-0.68%
Research & Development,-,1.71B,1.71B,1.67B,1.71B
Other SG&A,-,2.97B,2.81B,-,-
Other Operating Expense,235M,-,114M,104M,-
Unusual Expense,-,43M,19M,102M,138M
EBIT after Unusual Expense,-,(43M),(19M),(102M),(138M)
Non Operating Income/Expense,-,160M,223M,132M,260M
Non-Operating Interest Income,-,130M,121M,111M,115M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,98M,89M,88M,90M
Interest Expense Growth,-,-,-9.18%,-1.12%,2.27%
Gross Interest Expense,-,98M,89M,88M,90M
Interest Capitalized,-,-,-,-,-
Pretax Income,3.42B,3.74B,3.66B,3.6B,3.8B
Pretax Income Growth,-,9.34%,-2.09%,-1.48%,5.50%
Pretax Margin,-,-,-,-,29.61%
Income Tax,601M,726M,677M,630M,757M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.82B,3.01B,2.98B,2.97B,3.04B
Minority Interest Expense,-,-,-,-,-
Net Income,-,3.01B,2.98B,2.97B,3.04B
Net Income Growth,-,-,-0.96%,-0.23%,2.39%
Net Margin Growth,-,-,-,-,23.72%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,3.01B,2.98B,2.97B,3.04B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,3.01B,2.98B,2.97B,3.04B
EPS (Basic),0.68,0.71,0.71,0.71,0.73
EPS (Basic) Growth,-,4.66%,-1.01%,0.59%,3.15%
Basic Shares Outstanding,4.13B,4.22B,4.22B,4.18B,4.15B
EPS (Diluted),-,0.71,0.7,0.71,0.73
EPS (Diluted) Growth,-,-,-1.08%,0.67%,3.25%
Diluted Shares Outstanding,4.14B,4.24B,4.24B,4.21B,4.17B
EBITDA,-,4.08B,3.95B,4.07B,4.13B
EBITDA Growth,-,-,-2.97%,2.83%,1.62%
EBITDA Margin,-,-,-,-,32.19%
