Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,393.43M,412.49M,427.38M,443.56M,495.51M
Sales Growth,-,4.85%,3.61%,3.79%,11.71%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,29.59M,16.88M,18.94M,39.91M,41.03M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,181.8M,186.21M,192.49M,208.25M,213.57M
Total Interest Expense,31.49M,30.88M,36.2M,33.63M,41.71M
Depreciation & Amortization Expense,59.57M,61.52M,62.19M,67.91M,69.07M
Other Operating Expense,-,-,-,-,1.47M
Operating Income,211.63M,226.28M,234.9M,235.31M,281.93M
Operating Income Growth,-,6.92%,3.81%,0.18%,19.81%
Non-Operating Income (Expense),18.66M,11.19M,89.16M,19.17M,33.74M
Non-Operating Interest Income,12.84M,11.73M,12.83M,18.99M,15.06M
Miscellaneous Non Operating Expense,(2.5M),(8.79M),67.5M,(8.91M),8.49M
Equity in Affiliates (Pretax),8.32M,8.26M,8.83M,9.1M,10.19M
Unusual Expense,-,-,-,-,-
Pretax Income,198.8M,206.59M,287.85M,220.86M,273.97M
Pretax Income Growth,-,3.92%,39.33%,-23.27%,24.05%
Pretax Margin,-,-,-,-,55.07%
Income Taxes,5.42M,6.77M,3.99M,3.14M,5.62M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(232K),(260K),(383K),(286K),(313K)
Consolidated Net Income,193.14M,199.56M,283.48M,217.43M,268.04M
Minority Interest Expense,10.63M,11.54M,15.43M,14.14M,15.7M
Net Income,182.51M,188.02M,268.04M,203.29M,252.33M
Net Income Growth,-,3.02%,42.56%,-24.16%,24.12%
Net Margin Growth,-,-,-,-,50.92%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,182.51M,188.02M,268.04M,203.29M,252.33M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,182.51M,188.02M,268.04M,203.29M,252.33M
EPS (Basic),1.25,1.41,2,1.52,1.73
EPS (Basic) Growth,-,12.06%,42.47%,-24.31%,14.02%
Basic Shares Outstanding,133.76M,133.81M,133.9M,134.18M,134.19M
EPS (Diluted),1.25,1.4,1.99,1.51,1.73
EPS (Diluted) Growth,-,12.08%,41.87%,-24.01%,14.01%
Diluted Shares Outstanding,140.41M,140.43M,141.09M,141.58M,142.74M
