Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,5.22B,4.92B,4.8B,4.84B,5.21B
Sales Growth,-,-5.60%,-2.54%,0.94%,7.62%
Cost of Goods Sold (COGS) incl. D&A,3.56B,3.34B,3.23B,3.27B,3.49B
COGS Growth,-,-6.02%,-3.35%,1.30%,6.70%
COGS excluding D&A,3.33B,3.09B,2.99B,3.03B,3.26B
Depreciation & Amortization Expense,229M,247M,238M,244M,235M
Depreciation,121M,121M,120M,116M,113M
Amortization of Intangibles,108M,126M,118M,128M,122M
Gross Income,1.66B,1.58B,1.57B,1.57B,1.72B
Gross Income Growth,-,-4.70%,-0.82%,0.19%,9.54%
Gross Profit Margin,-,-,-,-,33.04%
SG&A Expense,930M,773M,861M,908M,935M
SGA Growth,-,-16.88%,11.38%,5.46%,2.97%
Research & Development,154M,152M,162M,165M,168M
Other SG&A,776M,621M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,7M,244M,42M,54M,102M
EBIT after Unusual Expense,(7M),(244M),(42M),(54M),(102M)
Non Operating Income/Expense,20M,553M,-,33M,42M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,123M,5M,41M,24M,6M
Interest Expense Growth,-,-95.93%,720.00%,-41.46%,-75.00%
Gross Interest Expense,123M,5M,41M,24M,6M
Interest Capitalized,-,-,-,-,-
Pretax Income,620M,1.11B,625M,619M,720M
Pretax Income Growth,-,79.52%,-43.85%,-0.96%,16.32%
Pretax Margin,-,-,-,-,13.81%
Income Tax,114M,483M,74M,86M,119M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,506M,630M,551M,533M,601M
Minority Interest Expense,-,1M,-,1M,-
Net Income,506M,629M,551M,532M,601M
Net Income Growth,-,24.31%,-12.40%,-3.45%,12.97%
Net Margin Growth,-,-,-,-,11.53%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,506M,629M,551M,532M,601M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,506M,629M,551M,532M,601M
EPS (Basic),1.27,1.58,1.38,1.33,1.51
EPS (Basic) Growth,-,24.27%,-12.40%,-3.52%,13.03%
Basic Shares Outstanding,398.8M,398.9M,398.9M,399.2M,399M
EPS (Diluted),1.26,1.57,1.37,1.32,1.5
EPS (Diluted) Growth,-,24.16%,-12.45%,-3.38%,13.29%
Diluted Shares Outstanding,401.4M,401.9M,402.1M,401.8M,400.7M
EBITDA,959M,1.06B,946M,908M,1.02B
EBITDA Growth,-,10.11%,-10.42%,-4.02%,12.56%
EBITDA Margin,-,-,-,-,19.61%
