Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Interest Income,14.09B,14.48B,15.02B,15.5B,18.65B
Interest Income Growth,-,2.74%,3.72%,3.18%,20.33%
Interest and Fees on Loans,10.15B,10.45B,10.76B,10.63B,11.63B
Interest Income on Fed. Funds,85M,158M,174M,310M,716M
Interest Income on Fed. Repos,-,-,-,-,-
Interest on Bank Deposits,103M,174M,170M,238M,1.08B
Other Interest or Dividend Income,3.76B,3.7B,3.92B,4.32B,5.23B
Total Internest Expense,1.35B,1.4B,1.42B,1.62B,3.52B
Total Internest Expense Growth,-,3.47%,1.29%,14.53%,116.63%
Interest Expense on Bank Deposits,132M,126M,127M,182M,898M
Other Interest Expense,1.16B,1.16B,-,-,-
Interest Expense on Debt,1.11B,1.1B,1.08B,1.13B,1.68B
Interest Capitalized,-,-,-,-,-
Other Borrowed Funds,51M,52M,127M,191M,471M
Net Interest Income,12.74B,13.08B,13.6B,13.87B,15.13B
Net Interest Income Growth,-,2.66%,3.98%,1.99%,9.05%
Loan Loss Provision,(2.29B),(1.53B),(1.29B),1.46B,1.1B
Loan Loss Provision Growth,-,33.17%,15.65%,213.59%,-24.74%
Net Interest Income after Provision,15.03B,14.61B,14.89B,12.41B,14.03B
Net Interest Inc After Loan Loss Prov Growth,-,-2.79%,1.93%,-16.66%,13.04%
Net Interest Margin,-,-,-,-,1.64%
Non-Interest Income,17.74B,16.89B,13.99B,17.83B,16.64B
Securities Gain,(155M),(256M),52M,(394M),(153M)
Trading Account Income,4.08B,3.55B,2.18B,5.11B,4.99B
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,8.03B,7.79B,5.67B,7.21B,6.73B
Other Operating Income,1.62B,1.52B,1.56B,1.62B,969M
Non-Interest Expense,17.48B,17.31B,17.8B,20.06B,19.73B
Labor & Related Expense,9.81B,9.09B,9.07B,10.79B,10.3B
Equipment Expense,1.09B,1.11B,1.2B,1.13B,1.13B
Other Operating Expense,4.91B,4.97B,5.55B,5.33B,5.77B
Operating Income,15.28B,14.19B,11.07B,10.18B,10.94B
Operating Income Growth,-,-7.17%,-21.95%,-8.05%,7.42%
Operating Income Margin,-,-,-,-,46.05%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,185M,76M,137M,119M,73M
Pretax Income,15.1B,14.11B,12.66B,10.06B,10.87B
Pretax Income Growth,-,-6.53%,-10.30%,-20.49%,7.97%
Pretax Margin,-,-,-,-,47.19%
Income Taxes,3.15B,2.42B,2.26B,1.78B,2.22B
Income Tax - Current - Domestic,-,-,-,-,-
Income Tax - Current - Foreign,-,-,-,-,-
Income Tax - Deferred - Domestic,-,-,-,-,-
Income Tax - Deferred - Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(59M),(56M),(46M),(40M),(44M)
Consolidated Net Income,11.89B,11.63B,10.35B,8.24B,8.61B
Minority Interest Expense,-,-,-,-,-
Net Income,11.89B,11.63B,10.35B,8.24B,8.61B
Net Income Growth,-,-2.17%,-10.99%,-20.39%,4.40%
Net Income Margin,-,-,-,-,38.11%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,-,-,-,-
Preferred Dividends,393M,402M,426M,397M,410M
Net Income Available to Common,11.5B,11.23B,9.93B,7.85B,8.2B
EPS (Basic),3.79,3.74,3.33,2.64,2.77
EPS (Basic) Grwoth,-,-1.13%,-10.92%,-20.96%,4.98%
Basic Shares Outstanding,3.04B,3B,2.98B,2.98B,2.96B
EPS (Diluted),3.78,3.74,3.33,2.63,2.76
EPS (Diluted) Growth,-,-1.13%,-10.90%,-20.95%,4.98%
Diluted Shares Outstanding,3.04B,3.01B,2.98B,2.98B,2.97B
