Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.23B,2.35B,2.18B,2.31B,2.65B
Sales Growth,-,5.26%,-7.17%,5.82%,14.69%
Cost of Goods Sold (COGS) incl. D&A,1.72B,1.82B,1.65B,1.65B,1.92B
COGS Growth,-,5.59%,-9.46%,0.32%,16.55%
COGS excluding D&A,1.72B,1.81B,1.64B,1.65B,1.92B
Depreciation & Amortization Expense,4.84M,4.68M,4.74M,4.46M,4.53M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,512.63M,533.9M,537.25M,658.96M,724.92M
Gross Income Growth,-,4.15%,0.63%,22.65%,10.01%
Gross Profit Margin,-,-,-,-,27.36%
SG&A Expense,136.02M,135.19M,149.15M,152.42M,155.92M
SGA Growth,-,-0.61%,10.33%,2.19%,2.30%
Research & Development,-,-,-,-,-
Other SG&A,136.02M,135.19M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(1.69M),3.77M,(4.18M),(10.11M),27.54M
EBIT after Unusual Expense,1.69M,(3.77M),4.18M,10.11M,(27.54M)
Non Operating Income/Expense,50.22M,50.1M,45.57M,60.39M,42.03M
Non-Operating Interest Income,2.21M,2.34M,2.15M,2.07M,2.77M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,13.27M,13.24M,13.21M,13.17M,12.26M
Interest Expense Growth,-,-0.20%,-0.27%,-0.31%,-6.90%
Gross Interest Expense,13.91M,13.81M,13.21M,13.81M,12.94M
Interest Capitalized,644K,564K,-,640K,680K
Pretax Income,417.47M,434.13M,426.81M,565.95M,574.01M
Pretax Income Growth,-,3.99%,-1.69%,32.60%,1.43%
Pretax Margin,-,-,-,-,21.66%
Income Tax,96.17M,102.05M,92.22M,139.85M,140.7M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,321.3M,332.08M,334.58M,426.1M,433.31M
Minority Interest Expense,-,-,-,-,-
Net Income,321.3M,332.08M,334.58M,426.1M,433.31M
Net Income Growth,-,3.36%,0.75%,27.35%,1.69%
Net Margin Growth,-,-,-,-,16.35%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,321.3M,332.08M,334.58M,426.1M,433.31M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,321.3M,332.08M,334.58M,426.1M,433.31M
EPS (Basic),88.68,93.26,96.48,125.87,131.84
EPS (Basic) Growth,-,5.16%,3.45%,30.47%,4.75%
Basic Shares Outstanding,3.62M,3.56M,3.47M,3.39M,3.29M
EPS (Diluted),82.45,86.43,89.1,116.56,123.65
EPS (Diluted) Growth,-,4.84%,3.09%,30.82%,6.08%
Diluted Shares Outstanding,3.9M,3.84M,3.76M,3.66M,3.5M
EBITDA,381.45M,403.39M,392.85M,511M,573.53M
EBITDA Growth,-,5.75%,-2.61%,30.08%,12.24%
EBITDA Margin,-,-,-,-,21.65%
