Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,575.53M,589.31M,595.26M,619.77M,652.01M
Sales Growth,-,2.39%,1.01%,4.12%,5.20%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,51.43M,53.81M,55.87M,60.34M,71.77M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,365.5M,362.35M,374.04M,389.51M,405.58M
Total Interest Expense,118.44M,117.18M,110.85M,109.88M,111.99M
Depreciation & Amortization Expense,175.79M,171.32M,170.63M,174.46M,176.3M
Other Operating Expense,21.31M,16.82M,24.89M,25.35M,23.51M
Operating Income,210.03M,226.96M,221.22M,230.26M,246.42M
Operating Income Growth,-,8.06%,-2.53%,4.09%,7.02%
Non-Operating Income (Expense),120.62M,(57.64M),(12.35M),121.88M,(119.54M)
Non-Operating Interest Income,547K,945K,1.32M,2.5M,1.52M
Miscellaneous Non Operating Expense,120.07M,(58.58M),(13.67M),119.38M,(121.06M)
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,12.29M,15.18M,49.68M,13.48M,15.45M
Pretax Income,199.92M,36.96M,48.35M,228.78M,65.59M
Pretax Income Growth,-,-81.51%,30.80%,373.20%,-71.33%
Pretax Margin,-,-,-,-,10.94%
Income Taxes,47.25M,(10.83M),(554K),40.48M,(3.56M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,167.85M,62.98M,66.15M,188.31M,69.15M
Minority Interest Expense,15.18M,15.18M,17.25M,(317K),(365K)
Net Income,152.67M,47.8M,48.9M,188.62M,69.52M
Net Income Growth,-,-68.69%,2.31%,285.72%,-63.15%
Net Margin Growth,-,-,-,-,10.66%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,152.67M,47.8M,48.9M,188.62M,69.52M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,152.67M,47.8M,48.9M,188.62M,69.52M
EPS (Basic),1.4,0.44,0.45,1.75,0.64
EPS (Basic) Growth,-,-68.74%,2.98%,288.49%,-63.06%
Basic Shares Outstanding,109.41M,109.58M,108.86M,108.09M,107.85M
EPS (Diluted),1.37,0.43,0.44,1.72,0.64
EPS (Diluted) Growth,-,-68.77%,3.08%,289.92%,-63.08%
Diluted Shares Outstanding,111.3M,111.57M,110.73M,109.54M,109.35M
