Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,12.9B,12.4B,13.79B,13.59B,14.25B
Sales Growth,-,-3.91%,11.25%,-1.46%,4.84%
Cost of Goods Sold (COGS) incl. D&A,8.99B,8.72B,10.07B,9.66B,10.09B
COGS Growth,-,-3.02%,15.57%,-4.12%,4.48%
COGS excluding D&A,8.4B,8.12B,9.49B,9.1B,9.54B
Depreciation & Amortization Expense,587M,593M,586M,557M,553M
Depreciation,511M,518M,512M,485M,482M
Amortization of Intangibles,76M,75M,74M,72M,71M
Gross Income,3.91B,3.68B,3.72B,3.93B,4.16B
Gross Income Growth,-,-5.95%,1.03%,5.76%,5.72%
Gross Profit Margin,-,-,-,-,29.18%
SG&A Expense,1.81B,1.77B,1.86B,1.8B,1.91B
SGA Growth,-,-2.38%,5.32%,-3.12%,5.66%
Research & Development,446M,427M,439M,457M,480M
Other SG&A,1.36B,1.34B,-,-,-
Other Operating Expense,283M,212M,281M,261M,280M
Unusual Expense,27M,19M,(82M),13M,28M
EBIT after Unusual Expense,(27M),(19M),82M,(13M),(28M)
Non Operating Income/Expense,175M,187M,999M,232M,235M
Non-Operating Interest Income,21M,20M,16M,21M,25M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,119M,114M,111M,109M,108M
Interest Expense Growth,-,-4.20%,-2.63%,-1.80%,-0.92%
Gross Interest Expense,119M,114M,111M,109M,108M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.87B,1.78B,2.56B,2B,2.1B
Pretax Income Growth,-,-5.08%,44.34%,-21.98%,4.85%
Pretax Margin,-,-,-,-,14.71%
Income Tax,470M,368M,429M,469M,427M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,14M,21M,(13M),7M,4M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.41B,1.43B,2.12B,1.54B,1.67B
Minority Interest Expense,1M,2M,-,-,-
Net Income,1.41B,1.43B,2.12B,1.54B,1.67B
Net Income Growth,-,0.92%,48.67%,-27.50%,8.85%
Net Margin Growth,-,-,-,-,11.74%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.41B,1.43B,2.12B,1.54B,1.67B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.41B,1.43B,2.12B,1.54B,1.67B
EPS (Basic),2.58,2.62,3.94,2.88,3.15
EPS (Basic) Growth,-,1.64%,50.13%,-26.93%,9.57%
Basic Shares Outstanding,547.9M,544M,538.7M,534.5M,531M
EPS (Diluted),2.56,2.6,3.91,2.86,3.13
EPS (Diluted) Growth,-,1.75%,50.04%,-26.92%,9.70%
Diluted Shares Outstanding,552.1M,547.6M,542.6M,538.3M,534.1M
EBITDA,2.41B,2.29B,2.16B,2.43B,2.53B
EBITDA Growth,-,-4.69%,-5.75%,12.16%,4.12%
EBITDA Margin,-,-,-,-,17.72%
