Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,33.85B,35.82B,36.58B,38.1B,38.63B
Sales Growth,-,5.82%,2.12%,4.14%,1.41%
Premiums Earned,28.53B,30.4B,30.77B,32.79B,33.08B
Total Investment Income,400M,335M,352M,360M,381M
Realized Gains (Losses),172M,(61M),211M,(151M),(231M)
Other Operating Income,4.75B,5.15B,5.25B,5.1B,5.41B
"Losses, Claims & Reserves",24.76B,26.65B,27.54B,28.22B,28.78B
"Losses, Claims & Reserves Growth",-,7.60%,3.35%,2.46%,1.99%
"Losses, Benefits & Adjustments",24.76B,26.65B,27.54B,28.22B,28.78B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",6.53B,6.98B,7.45B,7.35B,7.5B
SGA Growth,-,6.97%,6.72%,-1.29%,2.05%
"Selling, General & Admin. Expenses",3.91B,4.08B,4.38B,4.47B,4.44B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,-,-,-,-,-
Other Operating Expense,2.61B,2.9B,3.07B,2.88B,3.07B
Operating Income Before Interest Expense,2.56B,2.2B,1.59B,2.53B,2.35B
Operating Income Growth,-,-14.28%,-27.45%,58.53%,-6.96%
"Interest Expense, Net of Interest Capitalized",205M,201M,200M,201M,208M
Interest Expense (excl. Interest Capitalized),205M,201M,200M,201M,208M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,2.56B,2.2B,1.59B,2.53B,2.35B
Non-Operating Income (Expense),-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,5M,-,(6M),-,-
Pretax Income,2.35B,2B,1.4B,2.33B,2.14B
Pretax Income Growth,-,-15.17%,-29.86%,66.14%,-7.87%
Income Tax,552M,494M,275M,531M,493M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.8B,1.5B,1.13B,1.8B,1.65B
Minority Interest Expense,8M,(7M),(12M),(10M),(3M)
Net Income,1.79B,1.51B,1.14B,1.81B,1.65B
Net Income Growth,-,-15.84%,-24.65%,58.75%,-8.42%
Net Margin Growth,-,-,-,-,4.28%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.79B,1.51B,1.14B,1.81B,1.65B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.79B,1.51B,1.14B,1.81B,1.65B
EPS (Basic),7.33,6.2,4.7,7.48,6.87
EPS (Basic) Growth,-,-15.46%,-24.14%,58.99%,-8.15%
Basic Shares Outstanding,244.5M,243.4M,241.77M,241.4M,240.7M
EPS (Diluted),7.25,6.13,4.63,7.39,6.79
EPS (Diluted) Growth,-,-15.36%,-24.50%,59.46%,-8.04%
Diluted Shares Outstanding,247.4M,246M,245.5M,244.4M,243.4M
