Item,30-Jun-2021,31-Aug-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,19.21B,20.19B,25.25B,16.2B,20.23B
Sales Growth,-,5.06%,25.07%,-35.83%,24.84%
Cost of Goods Sold (COGS) incl. D&A,8.87B,9.35B,12.05B,7.35B,9.33B
COGS Growth,-,5.38%,28.91%,-38.97%,26.90%
COGS excluding D&A,8.22B,8.7B,11.2B,6.8B,8.69B
Depreciation & Amortization Expense,653M,650M,847M,555M,640M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,10.35B,10.84B,13.2B,8.85B,10.9B
Gross Income Growth,-,4.79%,21.76%,-32.96%,23.13%
Gross Profit Margin,-,-,-,-,53.87%
SG&A Expense,7.14B,7.65B,10.52B,6.8B,7.4B
SGA Growth,-,7.06%,37.55%,-35.36%,8.84%
Research & Development,-,-,-,-,-
Other SG&A,7.14B,7.65B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,59M,53M,172M,27M,1.41B
EBIT after Unusual Expense,(59M),(53M),(172M),(27M),(1.41B)
Non Operating Income/Expense,110M,133M,154M,3.36B,(16M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,241M,231M,1.08B,220M,236M
Interest Expense Growth,-,-4.15%,366.67%,-79.59%,7.27%
Gross Interest Expense,241M,231M,1.08B,220M,236M
Interest Capitalized,-,-,-,-,-
Pretax Income,3.01B,3.05B,1.59B,5.16B,1.84B
Pretax Income Growth,-,1.03%,-47.85%,225.00%,-64.37%
Pretax Margin,-,-,-,-,9.09%
Income Tax,642M,802M,247M,888M,393M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.37B,2.24B,1.34B,4.27B,1.45B
Minority Interest Expense,14M,19M,19M,12M,17M
Net Income,2.36B,2.22B,1.32B,4.26B,1.43B
Net Income Growth,-,-5.68%,-40.56%,222.31%,-66.46%
Net Margin Growth,-,-,-,-,7.06%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,2.36B,2.22B,1.32B,4.26B,1.43B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,2.36B,2.22B,1.32B,4.26B,1.43B
EPS (Basic),1.71,1.61,0.96,3.08,1.03
EPS (Basic) Growth,-,-5.68%,-40.60%,222.31%,-66.44%
Basic Shares Outstanding,1.38B,1.38B,1.38B,1.38B,1.38B
EPS (Diluted),1.7,1.6,0.95,3.06,1.03
EPS (Diluted) Growth,-,-5.75%,-40.60%,222.08%,-66.42%
Diluted Shares Outstanding,1.39B,1.39B,1.39B,1.39B,1.39B
EBITDA,3.86B,3.85B,3.53B,2.61B,4.14B
EBITDA Growth,-,-0.29%,-8.19%,-26.17%,58.73%
EBITDA Margin,-,-,-,-,20.46%
