Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,11.23B,9.73B,10.36B,10.51B,11.84B
Sales Growth,-,-13.35%,6.50%,1.48%,12.62%
Cost of Goods Sold (COGS) incl. D&A,2.46B,2.41B,2.46B,2.5B,2.66B
COGS Growth,-,-2.35%,2.16%,1.59%,6.69%
COGS excluding D&A,1.71B,1.65B,1.7B,1.72B,1.83B
Depreciation & Amortization Expense,752M,757M,758M,775M,831M
Depreciation,410M,454M,459M,496M,563M
Amortization of Intangibles,342M,303M,299M,279M,268M
Gross Income,8.76B,7.32B,7.9B,8.02B,9.18B
Gross Income Growth,-,-16.44%,7.92%,1.44%,14.47%
Gross Profit Margin,-,-,-,-,77.50%
SG&A Expense,4.1B,3.82B,4.06B,4.15B,4.56B
SGA Growth,-,-6.81%,6.28%,2.22%,9.98%
Research & Development,1.72B,1.68B,1.75B,1.82B,1.97B
Other SG&A,2.38B,2.14B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,121M,76M,4.67B,45M,110M
EBIT after Unusual Expense,(121M),(76M),(4.67B),(45M),(110M)
Non Operating Income/Expense,342M,(14M),28M,(289M),(12M)
Non-Operating Interest Income,21M,20M,21M,16M,38M
Equity in Affiliates (Pretax),-,-,-,-,(147M)
Interest Expense,697M,705M,679M,667M,704M
Interest Expense Growth,-,1.15%,-3.69%,-1.77%,5.55%
Gross Interest Expense,697M,705M,679M,667M,704M
Interest Capitalized,-,-,-,-,-
Pretax Income,4.21B,2.73B,(1.45B),2.88B,3.68B
Pretax Income Growth,-,-35.20%,-153.30%,298.21%,27.62%
Pretax Margin,-,-,-,-,31.06%
Income Tax,124M,224M,(249M),521M,435M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,4.09B,2.5B,(1.21B),2.36B,3.24B
Minority Interest Expense,53M,47M,42M,42M,54M
Net Income,4.03B,2.46B,(1.25B),2.32B,3.19B
Net Income Growth,-,-39.08%,-150.75%,285.97%,37.52%
Net Margin Growth,-,-,-,-,26.93%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,4.03B,2.46B,(1.25B),2.32B,3.19B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,4.03B,2.46B,(1.25B),2.32B,3.19B
EPS (Basic),1.42,0.89,(0.46),0.87,1.2
EPS (Basic) Growth,-,-37.36%,-152.17%,287.62%,37.67%
Basic Shares Outstanding,2.85B,2.77B,2.69B,2.67B,2.67B
EPS (Diluted),1.37,0.86,(0.46),0.84,1.16
EPS (Diluted) Growth,-,-37.33%,-153.90%,281.90%,38.12%
Diluted Shares Outstanding,2.94B,2.86B,2.69B,2.75B,2.74B
EBITDA,5.42B,4.26B,4.6B,4.64B,5.44B
EBITDA Growth,-,-21.36%,8.00%,0.89%,17.28%
EBITDA Margin,-,-,-,-,45.98%
