Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,9.01B,11.55B,8.64B,5.33B,4.24B
Sales Growth,-,28.09%,-25.17%,-38.34%,-20.42%
Cost of Goods Sold (COGS) incl. D&A,7.48B,7.29B,8.73B,4.07B,3.2B
COGS Growth,-,-2.46%,19.69%,-53.36%,-21.42%
COGS excluding D&A,5.4B,5.27B,7.36B,3.05B,2.37B
Depreciation & Amortization Expense,2.08B,2.02B,1.37B,1.02B,830M
Depreciation,1.92B,1.85B,1.19B,836M,650M
Amortization of Intangibles,154M,173M,177M,188M,180M
Gross Income,1.54B,4.25B,(90M),1.26B,1.04B
Gross Income Growth,-,176.82%,-102.12%,"1,495.56%",-17.20%
Gross Profit Margin,-,-,-,-,24.53%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,432M,468M,429M,354M,330M
Unusual Expense,218M,2.31B,(1.89B),(210M),15M
EBIT after Unusual Expense,(218M),(2.31B),1.89B,210M,(15M)
Non Operating Income/Expense,61M,332M,(445M),(75M),174M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,396M,397M,391M,338M,358M
Interest Expense Growth,-,0.25%,-1.51%,-13.55%,5.92%
Gross Interest Expense,396M,397M,391M,338M,358M
Interest Capitalized,-,-,-,-,-
Pretax Income,551M,1.41B,533M,699M,511M
Pretax Income Growth,-,155.17%,-62.09%,31.14%,-26.90%
Pretax Margin,-,-,-,-,12.05%
Income Tax,74M,174M,141M,218M,46M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(1M),(3M),(4M),-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,476M,1.23B,388M,481M,465M
Minority Interest Expense,75M,26M,(3M),1M,-
Net Income,401M,1.2B,391M,480M,465M
Net Income Growth,-,200.00%,-67.50%,22.76%,-3.13%
Net Margin Growth,-,-,-,-,10.97%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,117M,-
Net Income After Extraordinaries,401M,1.2B,391M,597M,465M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,401M,1.2B,391M,597M,465M
EPS (Basic),0.41,1.23,0.4,0.61,0.47
EPS (Basic) Growth,-,199.71%,-67.50%,52.38%,-22.12%
Basic Shares Outstanding,978M,979M,979M,981M,981M
EPS (Diluted),0.41,1.23,0.4,0.61,0.47
EPS (Diluted) Growth,-,199.71%,-67.46%,52.38%,-22.20%
Diluted Shares Outstanding,979M,980M,979M,981M,982M
EBITDA,3.18B,5.81B,850M,1.93B,1.54B
EBITDA Growth,-,82.64%,-85.37%,126.59%,-20.04%
EBITDA Margin,-,-,-,-,36.33%
