Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.27B,1.31B,1.37B,1.3B,1.33B
Sales Growth,-,3.17%,4.37%,-5.22%,2.15%
Cost of Goods Sold (COGS) incl. D&A,749.4M,762.1M,816.9M,774.2M,809.1M
COGS Growth,-,1.69%,7.19%,-5.23%,4.51%
COGS excluding D&A,695.2M,708.7M,764.1M,721.9M,757.1M
Depreciation & Amortization Expense,54.2M,53.4M,52.8M,52.3M,52M
Depreciation,23.7M,23.5M,23.4M,22.8M,22.7M
Amortization of Intangibles,30.5M,29.9M,29.4M,29.5M,29.3M
Gross Income,521.7M,549.3M,551.8M,523M,516M
Gross Income Growth,-,5.29%,0.46%,-5.22%,-1.34%
Gross Profit Margin,-,-,-,-,38.94%
SG&A Expense,261M,288.9M,375.4M,242.3M,254.4M
SGA Growth,-,10.69%,29.94%,-35.46%,4.99%
Research & Development,25.4M,27.7M,28M,24.5M,27.2M
Other SG&A,235.6M,261.2M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(38M),(41M),-,-,-
EBIT after Unusual Expense,38M,41M,-,-,-
Non Operating Income/Expense,(300K),(700K),(1.3M),(300K),-
Non-Operating Interest Income,200K,-,-,-,300K
Equity in Affiliates (Pretax),2.8M,2M,2M,2.4M,3.9M
Interest Expense,14.1M,13.4M,13M,16.6M,19.3M
Interest Expense Growth,-,-4.96%,-2.99%,27.69%,16.27%
Gross Interest Expense,14.1M,13.4M,13M,16.6M,19.3M
Interest Capitalized,-,-,-,-,-
Pretax Income,287.3M,289.3M,164.1M,266.2M,246.5M
Pretax Income Growth,-,0.70%,-43.28%,62.22%,-7.40%
Pretax Margin,-,-,-,-,18.60%
Income Tax,69M,58.9M,6M,61.8M,59.4M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,218.3M,230.4M,158.1M,204.4M,187.1M
Minority Interest Expense,-,-,-,-,-
Net Income,218.3M,230.4M,158.1M,204.4M,187.1M
Net Income Growth,-,5.54%,-31.38%,29.29%,-8.46%
Net Margin Growth,-,-,-,-,14.12%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,218.3M,230.4M,158.1M,204.4M,187.1M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,218.3M,230.4M,158.1M,204.4M,187.1M
EPS (Basic),0.89,0.94,0.65,0.84,0.77
EPS (Basic) Growth,-,5.50%,-31.04%,30.08%,-8.46%
Basic Shares Outstanding,245.2M,245.3M,244.1M,242.6M,242.6M
EPS (Diluted),0.87,0.92,0.64,0.83,0.76
EPS (Diluted) Growth,-,5.62%,-31.07%,30.33%,-8.35%
Diluted Shares Outstanding,250M,249.8M,248.7M,246.7M,246.4M
EBITDA,314.9M,313.8M,229.2M,333M,313.6M
EBITDA Growth,-,-0.35%,-26.96%,45.29%,-5.83%
EBITDA Margin,-,-,-,-,23.67%
