Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.12B,2.43B,2.48B,3.47B,2.57B
Sales Growth,-,14.62%,2.02%,39.86%,-25.89%
Cost of Goods Sold (COGS) incl. D&A,1.47B,1.74B,1.8B,2.59B,1.89B
COGS Growth,-,18.03%,3.88%,43.54%,-26.81%
COGS excluding D&A,1.19B,1.41B,1.45B,2.06B,1.53B
Depreciation & Amortization Expense,280.26M,322.08M,353.92M,526.28M,364.65M
Depreciation,274.65M,276.85M,280.81M,289.33M,294.24M
Amortization of Intangibles,5.61M,45.24M,73.11M,236.95M,70.41M
Gross Income,652.09M,697.21M,678.98M,883.42M,678.6M
Gross Income Growth,-,6.92%,-2.62%,30.11%,-23.18%
Gross Profit Margin,-,-,-,-,26.38%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,200.49M,213.88M,206.16M,220.36M,223.03M
Unusual Expense,(1.9M),104.08M,(1.9M),4.4M,4.7M
EBIT after Unusual Expense,1.9M,(104.08M),1.9M,(4.4M),(4.7M)
Non Operating Income/Expense,31.62M,135.65M,25.49M,68.86M,72.46M
Non-Operating Interest Income,8.4M,7.3M,8.4M,6.7M,9.5M
Equity in Affiliates (Pretax),4.7M,4.9M,900K,400K,16.6M
Interest Expense,145.44M,147.96M,151.17M,153.25M,160.09M
Interest Expense Growth,-,1.74%,2.17%,1.37%,4.47%
Gross Interest Expense,145.44M,147.96M,151.17M,153.25M,160.09M
Interest Capitalized,-,-,-,-,-
Pretax Income,352.79M,379.14M,358.34M,581.37M,389.34M
Pretax Income Growth,-,7.47%,-5.49%,62.24%,-33.03%
Pretax Margin,-,-,-,-,15.13%
Income Tax,86.39M,94.09M,49.76M,136.05M,95.6M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,266.4M,285.05M,308.58M,445.33M,293.74M
Minority Interest Expense,1.88M,1.88M,1.88M,1.88M,1.88M
Net Income,264.52M,283.17M,306.7M,443.45M,291.86M
Net Income Growth,-,7.05%,8.31%,44.59%,-34.18%
Net Margin Growth,-,-,-,-,11.34%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,264.52M,283.17M,306.7M,443.45M,291.86M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,264.52M,283.17M,306.7M,443.45M,291.86M
EPS (Basic),0.77,0.82,0.89,1.28,0.84
EPS (Basic) Growth,-,6.99%,8.21%,44.25%,-34.32%
Basic Shares Outstanding,343.84M,344.02M,344.34M,345.16M,345.89M
EPS (Diluted),0.77,0.82,0.89,1.28,0.84
EPS (Diluted) Growth,-,6.98%,8.18%,44.34%,-34.31%
Diluted Shares Outstanding,344.44M,344.67M,345.08M,345.66M,346.3M
EBITDA,731.86M,805.41M,826.73M,1.19B,820.22M
EBITDA Growth,-,10.05%,2.65%,43.86%,-31.04%
EBITDA Margin,-,-,-,-,31.88%
