Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,34.03B,34.26B,33.9B,33.76B,32.6B
Sales Growth,-,0.68%,-1.05%,-0.43%,-3.43%
Cost of Goods Sold (COGS) incl. D&A,27.38B,27.43B,26.83B,26.57B,26.5B
COGS Growth,-,0.18%,-2.22%,-0.95%,-0.26%
COGS excluding D&A,26.88B,26.76B,26.33B,26.05B,26.03B
Depreciation & Amortization Expense,507M,675M,500M,524M,478M
Depreciation,351M,519M,335M,349M,330M
Amortization of Intangibles,156M,156M,165M,175M,148M
Gross Income,6.65B,6.83B,7.08B,7.19B,6.09B
Gross Income Growth,-,2.74%,3.62%,1.55%,-15.18%
Gross Profit Margin,-,-,-,-,18.69%
SG&A Expense,5.52B,5.87B,5.7B,5.88B,6.31B
SGA Growth,-,6.28%,-2.93%,3.23%,7.34%
Research & Development,-,-,-,-,-
Other SG&A,5.52B,5.87B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,91M,106M,194M,159M,(92M)
EBIT after Unusual Expense,(91M),(106M),(194M),(159M),92M
Non Operating Income/Expense,164M,87M,2.62B,(198M),91M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),97M,56M,100M,103M,127M
Interest Expense,545M,88M,86M,100M,108M
Interest Expense Growth,-,-83.85%,-2.27%,16.28%,8.00%
Gross Interest Expense,545M,88M,86M,100M,108M
Interest Capitalized,-,-,-,-,-
Pretax Income,749M,907M,3.81B,947M,(18M)
Pretax Income Growth,-,21.09%,320.51%,-75.17%,-101.90%
Pretax Margin,-,-,-,-,-0.06%
Income Tax,246M,586M,275M,172M,(242M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,575M,23M,(7M),31M,5M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.08B,344M,3.53B,806M,229M
Minority Interest Expense,(27M),(14M),(48M),(78M),(60M)
Net Income,1.11B,358M,3.58B,884M,289M
Net Income Growth,-,-67.60%,900.00%,-75.31%,-67.31%
Net Margin Growth,-,-,-,-,0.89%
Extraordinaries & Discontinued Operations,93M,268M,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,93M,268M,-,-,-
Net Income After Extraordinaries,1.2B,626M,3.58B,884M,289M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.2B,626M,3.58B,883M,289M
EPS (Basic),1.38,0.72,4.13,1.02,0.33
EPS (Basic) Growth,-,-47.73%,471.43%,-75.27%,-67.29%
Basic Shares Outstanding,864.7M,865.1M,865.8M,863.5M,864M
EPS (Diluted),1.38,0.72,4.13,1.02,0.33
EPS (Diluted) Growth,-,-47.71%,471.59%,-75.27%,-67.27%
Diluted Shares Outstanding,867M,867.2M,867.6M,865.2M,865.3M
EBITDA,1.63B,1.63B,1.88B,1.83B,258M
EBITDA Growth,-,0.18%,14.94%,-2.66%,-85.88%
EBITDA Margin,-,-,-,-,0.79%
