Item,31-May-2021,31-Aug-2021,31-Oct-2021,31-Jan-2022,31-May-2022
Sales/Revenue,41.3B,31.68B,31.86B,33.05B,44.6B
Sales Growth,-,-23.28%,0.56%,3.73%,34.96%
Cost of Goods Sold (COGS) incl. D&A,32.81B,25.56B,25.62B,26.38B,35.84B
COGS Growth,-,-22.09%,0.22%,2.95%,35.89%
COGS excluding D&A,31.76B,24.77B,24.82B,25.58B,34.77B
Depreciation & Amortization Expense,1.05B,788M,795M,794M,1.08B
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,8.49B,6.12B,6.24B,6.67B,8.76B
Gross Income Growth,-,-27.90%,1.98%,6.90%,31.25%
Gross Profit Margin,-,-,-,-,19.64%
SG&A Expense,7.6B,5.22B,5.36B,5.61B,7.25B
SGA Growth,-,-31.35%,2.72%,4.70%,29.16%
Research & Development,-,-,-,-,-
Other SG&A,7.6B,5.22B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,87M,66M,16M,98M,7M
EBIT after Unusual Expense,(87M),(66M),(16M),(98M),(7M)
Non Operating Income/Expense,(461M),(107M),(171M),(117M),(513M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,165M,137M,135M,133M,180M
Interest Expense Growth,-,-16.97%,-1.46%,-1.48%,35.34%
Gross Interest Expense,165M,137M,135M,133M,180M
Interest Capitalized,-,-,-,-,-
Pretax Income,179M,595M,562M,715M,812M
Pretax Income Growth,-,232.40%,-5.55%,27.22%,13.57%
Pretax Margin,-,-,-,-,1.82%
Income Tax,36M,126M,77M,146M,146M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(1M),(5M),(5M),(5M),(7M)
Consolidated Net Income,142M,464M,480M,564M,659M
Minority Interest Expense,3M,2M,2M,3M,2M
Net Income,139M,462M,478M,561M,657M
Net Income Growth,-,232.37%,3.46%,17.36%,17.11%
Net Margin Growth,-,-,-,-,1.47%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,139M,462M,478M,561M,657M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,139M,462M,478M,560M,657M
EPS (Basic),0.18,0.62,0.64,0.76,0.91
EPS (Basic) Growth,-,235.12%,4.02%,18.60%,19.11%
Basic Shares Outstanding,752M,746M,742M,733M,722M
EPS (Diluted),0.18,0.61,0.64,0.75,0.9
EPS (Diluted) Growth,-,234.55%,3.87%,18.58%,18.92%
Diluted Shares Outstanding,760M,755M,752M,743M,733M
EBITDA,1.94B,1.69B,1.68B,1.86B,2.59B
EBITDA Growth,-,-12.91%,-0.83%,10.60%,39.36%
EBITDA Margin,-,-,-,-,5.80%
