Item,01-Jan-0001,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022
Sales/Revenue,482.67M,450.29M,488.06M,493.9M,478.26M
Sales Growth,-,-6.71%,8.39%,1.20%,-3.17%
Cost of Goods Sold (COGS) incl. D&A,-,274.92M,276.64M,282.83M,282.34M
COGS Growth,-,-,0.62%,2.24%,-0.17%
COGS excluding D&A,-,201.04M,196.62M,206.39M,206.45M
Depreciation & Amortization Expense,-,73.88M,80.02M,76.43M,75.89M
Depreciation,-,12.7M,13.16M,12.69M,12.5M
Amortization of Intangibles,-,31.04M,31.02M,31.59M,31.95M
Gross Income,195.86M,175.37M,211.42M,211.07M,195.92M
Gross Income Growth,-,-10.46%,20.56%,-0.17%,-7.18%
Gross Profit Margin,-,-,-,-,40.97%
SG&A Expense,-,79.07M,77.83M,85.41M,84.33M
SGA Growth,-,-,-1.58%,9.74%,-1.26%
Research & Development,-,28.81M,26.75M,29.92M,30.73M
Other SG&A,-,50.26M,51.07M,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,-,-,-,-,-
Non-Operating Interest Income,-,6K,7K,6K,3K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,619K,248K,447K,691K
Interest Expense Growth,-,-,-59.94%,80.24%,54.59%
Gross Interest Expense,-,619K,248K,447K,691K
Interest Capitalized,-,-,-,-,-
Pretax Income,102.79M,95.68M,133.35M,125.22M,110.9M
Pretax Income Growth,-,-6.92%,39.37%,-6.10%,-11.44%
Pretax Margin,-,-,-,-,23.19%
Income Tax,22.37M,18.82M,31.24M,29.55M,26.19M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,80.43M,76.86M,102.11M,95.67M,84.71M
Minority Interest Expense,-,-,-,-,-
Net Income,-,76.86M,102.11M,95.67M,84.71M
Net Income Growth,-,-,32.85%,-6.31%,-11.46%
Net Margin Growth,-,-,-,-,17.71%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,76.86M,102.11M,95.67M,84.71M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,76.86M,102.11M,95.67M,84.71M
EPS (Basic),-,1.04,1.38,1.3,1.16
EPS (Basic) Growth,-,-,33.05%,-5.76%,-10.55%
Basic Shares Outstanding,-,74.13M,74.02M,73.58M,72.84M
EPS (Diluted),-,1.04,1.38,1.3,1.16
EPS (Diluted) Growth,-,-,32.98%,-5.74%,-10.64%
Diluted Shares Outstanding,73.09M,74.21M,74.14M,73.7M,73.02M
EBITDA,-,170.18M,213.61M,202.1M,187.48M
EBITDA Growth,-,-,25.52%,-5.39%,-7.23%
EBITDA Margin,-,-,-,-,39.20%
