Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.36B,1.52B,1.61B,1.54B,1.95B
Sales Growth,-,11.42%,5.92%,-4.08%,26.84%
Cost of Goods Sold (COGS) incl. D&A,962.68M,1.12B,1.25B,1.27B,1.51B
COGS Growth,-,16.60%,11.77%,1.38%,18.57%
COGS excluding D&A,849.24M,993.1M,1.1B,1.11B,1.35B
Depreciation & Amortization Expense,113.45M,129.35M,158.3M,157.4M,157.9M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,398.36M,394.06M,351.7M,268.8M,446.2M
Gross Income Growth,-,-1.08%,-10.75%,-23.57%,66.00%
Gross Profit Margin,-,-,-,-,22.83%
SG&A Expense,100.67M,103.79M,124.6M,119M,134.4M
SGA Growth,-,3.10%,20.05%,-4.49%,12.94%
Research & Development,-,-,-,-,-
Other SG&A,100.67M,103.79M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(114K),5.9M,11.12M,1.8M,-
EBIT after Unusual Expense,114K,(5.9M),(11.12M),(1.8M),-
Non Operating Income/Expense,(2.54M),(19.34M),(11.72M),-,(9.4M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,41.21M,36.28M,35.56M,35.4M,38.2M
Interest Expense Growth,-,-11.95%,-1.99%,-0.45%,7.91%
Gross Interest Expense,41.21M,36.28M,35.56M,35.4M,38.2M
Interest Capitalized,-,-,-,-,-
Pretax Income,254.06M,228.74M,168.7M,112.6M,264.2M
Pretax Income Growth,-,-9.97%,-26.25%,-33.25%,134.64%
Pretax Margin,-,-,-,-,13.52%
Income Tax,57.28M,51.77M,30.4M,18.7M,63.7M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,196.78M,176.97M,138.3M,93.9M,200.5M
Minority Interest Expense,-,(146K),(400K),300K,100K
Net Income,196.78M,177.12M,138.7M,93.6M,200.4M
Net Income Growth,-,-9.99%,-21.69%,-32.52%,114.10%
Net Margin Growth,-,-,-,-,10.25%
Extraordinaries & Discontinued Operations,(1.44M),(212K),-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(1.44M),(212K),(700K),(1.8M),(13.1M)
Net Income After Extraordinaries,195.34M,176.91M,138M,91.8M,187.3M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,195.34M,176.91M,138M,91.8M,187.3M
EPS (Basic),1.47,1.33,1.04,0.69,1.41
EPS (Basic) Growth,-,-9.46%,-21.98%,-33.58%,104.04%
Basic Shares Outstanding,132.78M,132.81M,132.8M,133M,133M
EPS (Diluted),1.46,1.32,1.03,0.69,1.4
EPS (Diluted) Growth,-,-9.47%,-22.03%,-33.48%,104.19%
Diluted Shares Outstanding,133.51M,133.54M,133.6M,133.6M,133.5M
EBITDA,411.14M,419.62M,385.4M,307.2M,469.7M
EBITDA Growth,-,2.06%,-8.15%,-20.29%,52.90%
EBITDA Margin,-,-,-,-,24.03%
