Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.01B,1.91B,2.07B,1.93B,2.05B
Sales Growth,-,-5.24%,8.71%,-7.04%,6.28%
Cost of Goods Sold (COGS) incl. D&A,1.48B,1.35B,1.49B,1.4B,1.47B
COGS Growth,-,-8.75%,9.89%,-5.91%,5.21%
COGS excluding D&A,1.36B,1.23B,1.37B,1.28B,1.36B
Depreciation & Amortization Expense,126.3M,122.3M,122.4M,122M,118M
Depreciation,53.6M,49.8M,50.4M,49M,46M
Amortization of Intangibles,72.7M,72.5M,72M,73M,72M
Gross Income,528.4M,552.8M,585M,527M,575M
Gross Income Growth,-,4.62%,5.82%,-9.91%,9.11%
Gross Profit Margin,-,-,-,-,28.08%
SG&A Expense,295.1M,300.8M,323M,281M,307M
SGA Growth,-,1.93%,7.38%,-13.00%,9.25%
Research & Development,42M,43.8M,52M,45M,50M
Other SG&A,253.1M,257M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,31.5M,35.2M,(300K),4M,4M
EBIT after Unusual Expense,(31.5M),(35.2M),300K,(4M),(4M)
Non Operating Income/Expense,7.2M,(2.5M),5.2M,1M,-
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),4.6M,3.2M,9.5M,-,7M
Interest Expense,44.9M,42.2M,42M,43M,44M
Interest Expense Growth,-,-6.01%,-0.47%,2.38%,2.33%
Gross Interest Expense,44.9M,42.2M,42M,43M,44M
Interest Capitalized,-,-,-,-,-
Pretax Income,168.7M,175.3M,235M,200M,227M
Pretax Income Growth,-,3.91%,34.06%,-14.89%,13.50%
Pretax Margin,-,-,-,-,11.08%
Income Tax,43.5M,43.5M,42M,50M,58M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(300K),(200K),(1.3M),-,-
Consolidated Net Income,124.9M,131.6M,191.7M,150M,169M
Minority Interest Expense,400K,1.2M,3.1M,1M,3M
Net Income,124.5M,130.4M,188.6M,149M,166M
Net Income Growth,-,4.74%,44.63%,-21.00%,11.41%
Net Margin Growth,-,-,-,-,8.11%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,124.5M,130.4M,188.6M,149M,166M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,124.5M,130.4M,188.6M,149M,166M
EPS (Basic),0.66,0.7,1.01,0.81,0.91
EPS (Basic) Growth,-,5.30%,45.88%,-20.36%,13.00%
Basic Shares Outstanding,188.6M,187.6M,186M,184.5M,181.9M
EPS (Diluted),0.66,0.69,1.01,0.81,0.91
EPS (Diluted) Growth,-,5.23%,45.80%,-20.36%,13.00%
Diluted Shares Outstanding,188.9M,188M,186.5M,185M,182.4M
EBITDA,359.6M,374.3M,384.4M,368M,386M
EBITDA Growth,-,4.09%,2.70%,-4.27%,4.89%
EBITDA Margin,-,-,-,-,18.85%
