Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.1B,3.23B,3.51B,3.71B,3.75B
Sales Growth,-,4.13%,8.93%,5.49%,1.05%
Cost of Goods Sold (COGS) incl. D&A,1.85B,1.88B,2.07B,2.29B,2.39B
COGS Growth,-,1.73%,10.06%,10.54%,4.37%
COGS excluding D&A,1.63B,1.67B,1.82B,1.91B,2.03B
Depreciation & Amortization Expense,222M,206M,245M,380M,355M
Depreciation,155M,138M,146M,163M,162M
Amortization of Intangibles,67M,68M,99M,217M,193M
Gross Income,1.25B,1.35B,1.45B,1.42B,1.36B
Gross Income Growth,-,7.67%,7.35%,-1.73%,-4.29%
Gross Profit Margin,-,-,-,-,36.31%
SG&A Expense,788M,771M,846M,1B,987M
SGA Growth,-,-2.16%,9.73%,18.68%,-1.69%
Research & Development,139M,129M,133M,149M,148M
Other SG&A,649M,642M,-,-,-
Other Operating Expense,-,(2M),(3M),-,-
Unusual Expense,19M,76M,270M,249M,48M
EBIT after Unusual Expense,(19M),(76M),(270M),(249M),(48M)
Non Operating Income/Expense,(20M),(2M),(8M),10M,57M
Non-Operating Interest Income,3M,4M,4M,3M,4M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,35M,53M,46M,87M,91M
Interest Expense Growth,-,51.43%,-13.21%,89.13%,4.60%
Gross Interest Expense,35M,53M,46M,87M,91M
Interest Capitalized,-,-,-,-,-
Pretax Income,392M,451M,283M,94M,295M
Pretax Income Growth,-,15.05%,-37.25%,-66.78%,213.83%
Pretax Margin,-,-,-,-,7.88%
Income Tax,91M,(1M),41M,21M,40M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,301M,452M,242M,73M,255M
Minority Interest Expense,3M,2M,4M,2M,3M
Net Income,298M,450M,238M,71M,252M
Net Income Growth,-,51.01%,-47.11%,-70.17%,254.93%
Net Margin Growth,-,-,-,-,6.73%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,298M,450M,238M,71M,252M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,298M,450M,238M,71M,252M
EPS (Basic),0.59,0.9,0.48,0.14,0.5
EPS (Basic) Growth,-,51.92%,-47.22%,-70.27%,254.11%
Basic Shares Outstanding,503M,500M,501M,503M,504M
EPS (Diluted),0.59,0.89,0.47,0.14,0.5
EPS (Diluted) Growth,-,51.89%,-47.22%,-70.28%,255.63%
Diluted Shares Outstanding,509M,506M,507M,509M,508M
EBITDA,685M,784M,848M,797M,728M
EBITDA Growth,-,14.45%,8.16%,-6.01%,-8.66%
EBITDA Margin,-,-,-,-,19.43%
