Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.55B,1.51B,1.57B,1.56B,1.63B
Sales Growth,-,-2.20%,4.02%,-0.53%,4.01%
Cost of Goods Sold (COGS) incl. D&A,851.4M,896.2M,1.01B,976.7M,1.05B
COGS Growth,-,5.26%,13.00%,-3.55%,7.58%
COGS excluding D&A,729.5M,770.9M,871.4M,833.3M,878.4M
Depreciation & Amortization Expense,121.9M,125.3M,141.3M,143.4M,172.3M
Depreciation,119.4M,123.3M,128.4M,128.4M,157.4M
Amortization of Intangibles,2.5M,2M,12.9M,15M,14.9M
Gross Income,694.4M,615.6M,559.8M,587.5M,576.2M
Gross Income Growth,-,-11.35%,-9.06%,4.95%,-1.92%
Gross Profit Margin,-,-,-,-,35.42%
SG&A Expense,315.3M,375.9M,333.7M,303M,265.3M
SGA Growth,-,19.22%,-11.23%,-9.20%,-12.44%
Research & Development,-,-,-,-,-
Other SG&A,315.3M,375.9M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,1.2M,600K,-,31.3M,18.1M
EBIT after Unusual Expense,(1.2M),(600K),-,(31.3M),(18.1M)
Non Operating Income/Expense,2.8M,19.2M,(40.6M),(1.9M),(18.6M)
Non-Operating Interest Income,200K,300K,400K,500K,1.3M
Equity in Affiliates (Pretax),9.1M,9.1M,10.9M,8.7M,1.8M
Interest Expense,138.2M,145.2M,143.5M,161.3M,194.9M
Interest Expense Growth,-,5.07%,-1.17%,12.40%,20.83%
Gross Interest Expense,139.1M,146.1M,145.1M,161.6M,195.3M
Interest Capitalized,900K,900K,1.6M,300K,400K
Pretax Income,251.8M,122.5M,53.3M,99.2M,82.4M
Pretax Income Growth,-,-51.35%,-56.49%,86.12%,-16.94%
Pretax Margin,-,-,-,-,5.06%
Income Tax,53.1M,36.4M,8.5M,47.6M,56.3M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,198.7M,86.1M,44.8M,51.6M,26.1M
Minority Interest Expense,-,-,(200K),(100K),-
Net Income,198.7M,86.1M,45M,51.7M,26.1M
Net Income Growth,-,-56.67%,-47.74%,14.89%,-49.52%
Net Margin Growth,-,-,-,-,1.60%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,198.7M,86.1M,45M,51.7M,26.1M
Preferred Dividends,1M,400K,-,200K,100K
Net Income Available to Common,197.7M,85.7M,45M,51.5M,26M
EPS (Basic),1.27,0.55,0.27,0.31,0.16
EPS (Basic) Growth,-,-56.68%,-50.89%,13.58%,-48.47%
Basic Shares Outstanding,156M,156.1M,166.9M,168.2M,164.8M
EPS (Diluted),1.14,0.5,0.27,0.28,0.14
EPS (Diluted) Growth,-,-56.66%,-46.39%,5.11%,-48.39%
Diluted Shares Outstanding,172.7M,172.7M,169.2M,184.2M,180.2M
EBITDA,501M,365M,367.4M,427.9M,483.2M
EBITDA Growth,-,-27.15%,0.66%,16.47%,12.92%
EBITDA Margin,-,-,-,-,29.70%
