Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,1.84B,1.9B,1.92B,1.96B,2.07B
Sales Growth,-,3.34%,1.34%,1.99%,5.82%
Cost of Goods Sold (COGS) incl. D&A,976.61M,994.19M,1.04B,1.06B,1.13B
COGS Growth,-,1.80%,4.32%,2.43%,6.22%
COGS excluding D&A,879.01M,896.25M,938.92M,962.2M,1.03B
Depreciation & Amortization Expense,97.6M,97.95M,98.22M,100.19M,102.38M
Depreciation,61.7M,60.96M,61.32M,62.19M,64.91M
Amortization of Intangibles,35.9M,36.99M,36.9M,38M,37.47M
Gross Income,859.05M,902.76M,885.14M,898.15M,946.2M
Gross Income Growth,-,5.09%,-1.95%,1.47%,5.35%
Gross Profit Margin,-,-,-,-,45.61%
SG&A Expense,502.6M,508.66M,503.91M,490.55M,541.76M
SGA Growth,-,1.20%,-0.93%,-2.65%,10.44%
Research & Development,-,-,-,-,-
Other SG&A,502.6M,508.66M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,474K,607K,-,-,-
Non-Operating Interest Income,98K,56K,56K,56K,74K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,25.03M,22.46M,21.9M,22.03M,23.06M
Interest Expense Growth,-,-10.25%,-2.49%,0.58%,4.67%
Gross Interest Expense,25.03M,22.46M,21.9M,22.03M,23.06M
Interest Capitalized,-,-,-,-,-
Pretax Income,331.99M,372.3M,359.38M,385.63M,381.45M
Pretax Income Growth,-,12.14%,-3.47%,7.30%,-1.08%
Pretax Margin,-,-,-,-,18.39%
Income Tax,64.27M,41.12M,64.71M,70.18M,86.99M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(1.72M),(1.77M),(1.5M),(1.58M),(1.43M)
Consolidated Net Income,266.01M,329.41M,293.17M,313.87M,293.04M
Minority Interest Expense,-,-,-,-,-
Net Income,266.01M,329.41M,293.17M,313.87M,293.04M
Net Income Growth,-,23.84%,-11.00%,7.06%,-6.64%
Net Margin Growth,-,-,-,-,14.12%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,266.01M,329.41M,293.17M,313.87M,293.04M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,266.01M,329.41M,293.17M,313.87M,293.04M
EPS (Basic),2.53,3.19,2.83,3.04,2.86
EPS (Basic) Growth,-,26.05%,-11.30%,7.33%,-5.71%
Basic Shares Outstanding,105.14M,103.3M,103.65M,103.39M,102.38M
EPS (Diluted),2.47,3.11,2.76,2.97,2.81
EPS (Diluted) Growth,-,25.92%,-11.15%,7.55%,-5.55%
Diluted Shares Outstanding,107.73M,105.94M,106.12M,105.64M,104.43M
EBITDA,454.05M,492.05M,479.45M,507.8M,506.81M
EBITDA Growth,-,8.37%,-2.56%,5.91%,-0.19%
EBITDA Margin,-,-,-,-,24.43%
