Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,2.03B,2.37B,2.32B,2.1B,2.36B
Sales Growth,-,17.00%,-2.12%,-9.40%,12.41%
Cost of Goods Sold (COGS) incl. D&A,948.2M,1.15B,1.09B,1.03B,1.07B
COGS Growth,-,21.44%,-5.24%,-5.84%,4.21%
COGS excluding D&A,851.3M,1.04B,982.6M,916.5M,955.5M
Depreciation & Amortization Expense,96.9M,107.8M,108.6M,111M,115.3M
Depreciation,95.7M,106.7M,107.1M,109.7M,114.3M
Amortization of Intangibles,1.2M,1.1M,1.5M,1.3M,1M
Gross Income,1.08B,1.22B,1.23B,1.08B,1.29B
Gross Income Growth,-,13.10%,0.82%,-12.56%,20.25%
Gross Profit Margin,-,-,-,-,54.70%
SG&A Expense,400.3M,502M,382.5M,447.5M,443.2M
SGA Growth,-,25.41%,-23.80%,16.99%,-0.96%
Research & Development,-,-,-,-,-
Other SG&A,400.3M,502M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,608.5M,11.5M,(1.9M),(50.6M),59.2M
EBIT after Unusual Expense,(608.5M),(11.5M),1.9M,50.6M,(59.2M)
Non Operating Income/Expense,5.4M,3.5M,(9.6M),(3.3M),10M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),(899.2M),(470.8M),(171.8M),(93.7M),(187.9M)
Interest Expense,86.7M,95.8M,87.7M,83.5M,88M
Interest Expense Growth,-,10.50%,-8.46%,-4.79%,5.39%
Gross Interest Expense,86.7M,95.8M,87.7M,83.5M,88M
Interest Capitalized,-,-,-,-,-
Pretax Income,(910.8M),143.2M,580.1M,497.9M,524.7M
Pretax Income Growth,-,115.72%,305.10%,-14.17%,5.38%
Pretax Margin,-,-,-,-,22.20%
Income Tax,(13.5M),131.3M,99.3M,92.3M,125.4M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(897.3M),11.9M,480.8M,405.6M,399.3M
Minority Interest Expense,10.8M,10.4M,10M,10.2M,9.8M
Net Income,(908.1M),1.5M,470.8M,395.4M,389.5M
Net Income Growth,-,100.17%,"31,286.67%",-16.02%,-1.49%
Net Margin Growth,-,-,-,-,16.48%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(908.1M),1.5M,470.8M,395.4M,389.5M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(908.1M),1.5M,470.8M,395.4M,389.5M
EPS (Basic),(4.73),0.01,2.51,2.09,2.07
EPS (Basic) Growth,-,100.17%,"31,617.72%",-16.75%,-0.81%
Basic Shares Outstanding,192.08M,188.9M,187.89M,189.55M,188.24M
EPS (Diluted),(4.73),0.01,2.21,2.09,1.84
EPS (Diluted) Growth,-,100.15%,"31,500.00%",-5.70%,-12.02%
Diluted Shares Outstanding,192.08M,213.98M,212.83M,189.55M,212.24M
EBITDA,775.1M,825.6M,955.9M,738.8M,965.1M
EBITDA Growth,-,6.52%,15.78%,-22.71%,30.63%
EBITDA Margin,-,-,-,-,40.83%
