Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,1.38B,1.25B,1.29B,1.25B,1.35B
Sales Growth,-,-9.45%,3.85%,-3.40%,8.08%
Cost of Goods Sold (COGS) incl. D&A,-,459M,458M,447M,495M
COGS Growth,-,-,-0.22%,-2.40%,10.74%
COGS excluding D&A,-,396M,401M,391M,440M
Depreciation & Amortization Expense,-,63M,57M,56M,55M
Depreciation,-,30M,30M,30M,29M
Amortization of Intangibles,-,33M,27M,26M,26M
Gross Income,877M,787M,836M,803M,856M
Gross Income Growth,-,-10.26%,6.23%,-3.95%,6.60%
Gross Profit Margin,-,-,-,-,63.36%
SG&A Expense,-,507M,490M,532M,518M
SGA Growth,-,-,-3.35%,8.57%,-2.63%
Research & Development,-,207M,196M,210M,210M
Other SG&A,-,300M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,4M,(1M),-,-
EBIT after Unusual Expense,-,(4M),1M,-,-
Non Operating Income/Expense,-,13M,9M,12M,(13M)
Non-Operating Interest Income,-,1M,1M,1M,1M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,20M,20M,20M,19M
Interest Expense Growth,-,-,0.00%,0.00%,-5.00%
Gross Interest Expense,-,20M,20M,20M,19M
Interest Capitalized,-,-,-,-,-
Pretax Income,346M,270M,337M,264M,307M
Pretax Income Growth,-,-21.97%,24.81%,-21.66%,16.29%
Pretax Margin,-,-,-,-,22.72%
Income Tax,8M,16M,55M,35M,49M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,338M,254M,282M,229M,258M
Minority Interest Expense,-,-,-,-,-
Net Income,-,254M,282M,229M,258M
Net Income Growth,-,-,11.02%,-18.79%,12.66%
Net Margin Growth,-,-,-,-,19.10%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,254M,282M,229M,258M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,254M,282M,229M,258M
EPS (Basic),1.89,1.38,1.54,1.25,1.43
EPS (Basic) Growth,-,-26.90%,11.63%,-18.79%,13.90%
Basic Shares Outstanding,179M,184M,183M,183M,181M
EPS (Diluted),-,1.37,1.52,1.24,1.41
EPS (Diluted) Growth,-,-,11.02%,-17.91%,13.27%
Diluted Shares Outstanding,181M,186M,186M,184M,183M
EBITDA,-,343M,403M,327M,393M
EBITDA Growth,-,-,17.49%,-18.86%,20.18%
EBITDA Margin,-,-,-,-,29.09%
