Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,5.66B,6.51B,7.1B,7.64B,8.29B
Sales Growth,-,14.94%,9.16%,7.60%,8.44%
Cost of Goods Sold (COGS) incl. D&A,2.03B,2.29B,2.47B,2.64B,2.86B
COGS Growth,-,12.80%,7.85%,6.96%,8.06%
COGS excluding D&A,1.75B,2.01B,2.17B,2.34B,2.52B
Depreciation & Amortization Expense,281M,286M,298M,309M,334M
Depreciation,144M,148M,155M,164M,179M
Amortization of Intangibles,137M,138M,143M,145M,155M
Gross Income,3.63B,4.22B,4.63B,5B,5.43B
Gross Income Growth,-,16.15%,9.87%,7.95%,8.64%
Gross Profit Margin,-,-,-,-,65.53%
SG&A Expense,1.51B,1.61B,1.8B,1.88B,2.06B
SGA Growth,-,7.10%,11.84%,3.94%,9.92%
Research & Development,1.15B,1.25B,1.4B,1.47B,1.62B
Other SG&A,353M,368M,401M,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,34M,158M,137M,206M,1.53B
EBIT after Unusual Expense,(34M),(158M),(137M),(206M),(1.53B)
Non Operating Income/Expense,2M,4M,3M,(1M),11M
Non-Operating Interest Income,6M,6M,7M,9M,18M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,53M,60M,62M,61M,68M
Interest Expense Growth,-,13.21%,3.33%,-1.61%,11.48%
Gross Interest Expense,53M,60M,62M,61M,68M
Interest Capitalized,-,-,-,-,-
Pretax Income,2.04B,2.39B,2.64B,2.87B,1.81B
Pretax Income Growth,-,17.12%,10.19%,8.61%,-37.00%
Pretax Margin,-,-,-,-,21.78%
Income Tax,132M,20M,174M,(138M),187M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.91B,2.37B,2.46B,3B,1.62B
Minority Interest Expense,-,-,-,-,-
Net Income,1.91B,2.37B,2.46B,3B,1.62B
Net Income Growth,-,24.16%,3.79%,21.88%,-46.12%
Net Margin Growth,-,-,-,-,19.52%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.91B,2.37B,2.46B,3B,1.62B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.91B,2.37B,2.46B,3B,1.62B
EPS (Basic),0.77,0.95,0.99,1.2,0.65
EPS (Basic) Growth,-,23.72%,3.54%,21.63%,-46.17%
Basic Shares Outstanding,2.48B,2.49B,2.5B,2.5B,2.51B
EPS (Diluted),0.76,0.94,0.97,1.18,0.64
EPS (Diluted) Growth,-,23.97%,3.54%,21.55%,-45.95%
Diluted Shares Outstanding,2.53B,2.53B,2.54B,2.55B,2.54B
EBITDA,2.4B,2.89B,3.13B,3.43B,3.7B
EBITDA Growth,-,20.13%,8.21%,9.86%,7.89%
EBITDA Margin,-,-,-,-,44.69%
