Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,18.95B,20.34B,20.95B,19.38B,19.52B
Sales Growth,-,7.35%,3.02%,-7.50%,0.69%
Cost of Goods Sold (COGS) incl. D&A,9.79B,10.37B,10.66B,10.33B,10.8B
COGS Growth,-,5.86%,2.88%,-3.17%,4.61%
COGS excluding D&A,9.08B,9.65B,9.98B,9.64B,10.08B
Depreciation & Amortization Expense,710M,711M,684M,690M,722M
Depreciation,633M,634M,610M,611M,640M
Amortization of Intangibles,77M,77M,74M,79M,82M
Gross Income,9.16B,9.97B,10.29B,9.06B,8.71B
Gross Income Growth,-,8.94%,3.17%,-11.99%,-3.78%
Gross Profit Margin,-,-,-,-,44.65%
SG&A Expense,5.1B,4.93B,5.18B,5.03B,5.24B
SGA Growth,-,-3.37%,5.05%,-2.82%,4.12%
Research & Development,-,-,-,-,-
Other SG&A,5.1B,4.93B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,517M,24M,(54M),2M,(121M)
EBIT after Unusual Expense,(517M),(24M),54M,(2M),121M
Non Operating Income/Expense,126M,110M,167M,147M,146M
Non-Operating Interest Income,15M,11M,10M,9M,21M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,117M,109M,106M,109M,115M
Interest Expense Growth,-,-6.84%,-2.75%,2.83%,5.50%
Gross Interest Expense,117M,109M,106M,109M,115M
Interest Capitalized,-,-,-,-,-
Pretax Income,3.56B,5.04B,5.24B,4.07B,3.65B
Pretax Income Growth,-,41.27%,4.05%,-22.29%,-10.34%
Pretax Margin,-,-,-,-,18.70%
Income Tax,656M,909M,997M,704M,592M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,2.91B,4.13B,4.24B,3.37B,3.06B
Minority Interest Expense,2M,14M,19M,12M,6M
Net Income,2.91B,4.11B,4.22B,3.36B,3.05B
Net Income Growth,-,41.50%,2.70%,-20.55%,-9.03%
Net Margin Growth,-,-,-,-,15.64%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,2.91B,4.11B,4.22B,3.36B,3.05B
Preferred Dividends,74M,70M,70M,68M,73M
Net Income Available to Common,2.83B,4.04B,4.15B,3.29B,2.98B
EPS (Basic),1.17,1.66,1.72,1.37,1.24
EPS (Basic) Growth,-,42.82%,3.37%,-20.43%,-9.11%
Basic Shares Outstanding,2.43B,2.43B,2.41B,2.4B,2.39B
EPS (Diluted),1.13,1.61,1.66,1.33,1.21
EPS (Diluted) Growth,-,42.28%,3.29%,-20.11%,-8.79%
Diluted Shares Outstanding,2.57B,2.56B,2.54B,2.53B,2.52B
EBITDA,4.77B,5.76B,5.8B,4.72B,4.2B
EBITDA Growth,-,20.79%,0.69%,-18.66%,-10.96%
EBITDA Margin,-,-,-,-,21.52%
