Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,2.08B,2.31B,2.33B,2.43B,2.12B
Sales Growth,-,11.25%,0.83%,4.17%,-12.64%
Cost of Goods Sold (COGS) incl. D&A,852.2M,985.4M,980.8M,1.01B,882.5M
COGS Growth,-,15.63%,-0.47%,3.02%,-12.66%
COGS excluding D&A,774.6M,907.1M,903.5M,930.3M,805.7M
Depreciation & Amortization Expense,77.6M,78.3M,77.3M,80.1M,76.8M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,1.23B,1.33B,1.35B,1.42B,1.24B
Gross Income Growth,-,8.21%,1.80%,5.00%,-12.62%
Gross Profit Margin,-,-,-,-,58.43%
SG&A Expense,1B,1.05B,1.09B,1.21B,1.05B
SGA Growth,-,4.92%,3.35%,11.38%,-13.40%
Research & Development,-,-,-,-,-
Other SG&A,1.03B,1.06B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,31.7M,5.6M,(114.2M),(9.7M),(14.1M)
EBIT after Unusual Expense,(31.7M),(5.6M),114.2M,9.7M,14.1M
Non Operating Income/Expense,900K,5M,(7.3M),(3.4M),(1.5M)
Non-Operating Interest Income,1.1M,1M,1.3M,1M,1.2M
Equity in Affiliates (Pretax),3.7M,4.1M,6.3M,9.6M,7.4M
Interest Expense,29.4M,26.5M,25.2M,24.5M,23M
Interest Expense Growth,-,-9.86%,-4.91%,-2.78%,-6.12%
Gross Interest Expense,29.4M,26.5M,25.2M,24.5M,23M
Interest Capitalized,-,-,-,-,-
Pretax Income,168M,252.7M,352.6M,199.4M,188.5M
Pretax Income Growth,-,50.42%,39.53%,-43.45%,-5.47%
Pretax Margin,-,-,-,-,8.88%
Income Tax,68.3M,70.9M,72.9M,(191.4M),55.4M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,99.7M,181.8M,279.7M,390.8M,133.1M
Minority Interest Expense,(200K),(100K),-,-,-
Net Income,99.9M,181.9M,279.7M,390.8M,133.1M
Net Income Growth,-,82.08%,53.77%,39.72%,-65.94%
Net Margin Growth,-,-,-,-,6.27%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,99.9M,181.9M,279.7M,390.8M,133.1M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,99.9M,181.9M,279.7M,390.8M,133.1M
EPS (Basic),1.4,2.55,3.95,5.61,1.96
EPS (Basic) Growth,-,81.57%,54.85%,42.33%,-65.14%
Basic Shares Outstanding,71.2M,71.4M,70.9M,69.6M,68M
EPS (Diluted),1.38,2.51,3.88,5.54,1.94
EPS (Diluted) Growth,-,81.84%,54.83%,42.49%,-65.00%
Diluted Shares Outstanding,72.4M,72.5M,72M,70.6M,68.7M
EBITDA,301M,353M,340.6M,287.1M,267.1M
EBITDA Growth,-,17.28%,-3.51%,-15.71%,-6.97%
EBITDA Margin,-,-,-,-,12.58%
