Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,585.98M,619.23M,643.4M,643.45M,688.78M
Sales Growth,-,5.67%,3.90%,0.01%,7.04%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,-,-,-,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,432.87M,461.6M,469.3M,493.61M,486.74M
Total Interest Expense,66.73M,67.94M,69.91M,72.44M,71.56M
Depreciation & Amortization Expense,200.67M,215.4M,222.24M,229.96M,223.81M
Other Operating Expense,-,-,-,-,-
Operating Income,153.11M,157.63M,174.09M,149.84M,202.04M
Operating Income Growth,-,2.95%,10.45%,-13.93%,34.84%
Non-Operating Income (Expense),242.17M,359.08M,474.17M,(3.26M),103.66M
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,242.17M,359.08M,474.17M,(3.26M),103.66M
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,16.77M,(1.2M),-
Pretax Income,328.54M,448.77M,561.58M,75.34M,234.14M
Pretax Income Growth,-,36.59%,25.14%,-86.58%,210.77%
Pretax Margin,-,-,-,-,57.60%
Income Taxes,242K,284K,236K,282K,291K
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,(261K),(1.16M),(370K),(1.26M),(1.17M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,328.04M,447.33M,560.98M,73.8M,232.68M
Minority Interest Expense,11.65M,15.38M,34M,3.03M,8.58M
Net Income,316.39M,431.95M,526.97M,70.77M,224.1M
Net Income Growth,-,36.53%,22.00%,-86.57%,216.68%
Net Margin Growth,-,-,-,-,32.54%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,316.39M,431.95M,526.97M,70.77M,224.1M
Preferred Dividends,772K,773K,772K,772K,773K
Net Income Available to Common,315.61M,431.18M,526.2M,69.99M,223.33M
EPS (Basic),0.84,1.15,1.4,0.19,0.59
EPS (Basic) Growth,-,36.43%,21.85%,-86.72%,218.83%
Basic Shares Outstanding,373.81M,374.31M,374.9M,375.51M,375.77M
EPS (Diluted),0.84,1.15,1.4,0.19,0.59
EPS (Diluted) Growth,-,36.39%,21.82%,-86.72%,219.27%
Diluted Shares Outstanding,387.82M,388.37M,389M,389.63M,389.36M
