Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,271.69M,280.37M,264.57M,278.16M,285.29M
Sales Growth,-,3.19%,-5.63%,5.14%,2.56%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,17.72M,23.55M,7.88M,2.95M,5.14M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,185.92M,185.59M,169.93M,194.89M,194.17M
Total Interest Expense,11.37M,11.1M,21.26M,20M,18.73M
Depreciation & Amortization Expense,91.73M,88.03M,88.81M,94M,93.94M
Other Operating Expense,4.37M,4.62M,3.82M,6.29M,4.03M
Operating Income,85.77M,94.78M,94.65M,83.28M,91.12M
Operating Income Growth,-,10.50%,-0.14%,-12.02%,9.42%
Non-Operating Income (Expense),117.35M,445.26M,33.92M,216.48M,33.36M
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,106.76M,442.3M,30.94M,212.66M,27.8M
Equity in Affiliates (Pretax),10.59M,2.97M,2.98M,3.82M,5.57M
Unusual Expense,716K,13.89M,-,21.95M,1.56M
Pretax Income,181.33M,506.15M,107.31M,257.81M,104.18M
Pretax Income Growth,-,179.13%,-78.80%,140.26%,-59.59%
Pretax Margin,-,-,-,-,79.59%
Income Taxes,3.67M,6.38M,3.31M,6.33M,493K
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(365K),(298K),(323K),(327K),(319K)
Consolidated Net Income,177.29M,499.47M,103.67M,251.15M,103.37M
Minority Interest Expense,1.84M,4.95M,1.09M,2.56M,1.22M
Net Income,175.45M,494.52M,102.58M,248.59M,102.15M
Net Income Growth,-,181.85%,-79.26%,142.35%,-58.91%
Net Margin Growth,-,-,-,-,35.81%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,175.45M,494.52M,102.58M,248.59M,102.15M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,175.45M,494.52M,102.58M,248.59M,102.15M
EPS (Basic),0.47,1.3,0.27,0.65,0.27
EPS (Basic) Growth,-,179.47%,-79.39%,141.67%,-59.10%
Basic Shares Outstanding,376.02M,379.22M,381.68M,382.71M,384.52M
EPS (Diluted),0.47,1.3,0.27,0.65,0.27
EPS (Diluted) Growth,-,179.20%,-79.38%,141.88%,-59.04%
Diluted Shares Outstanding,381.62M,384.62M,387.15M,387.94M,389.2M
