Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.74B,1.75B,2.31B,2.76B,1.88B
Sales Growth,-,0.40%,32.30%,19.40%,-31.99%
Cost of Goods Sold (COGS) incl. D&A,1.32B,1.35B,1.84B,2.14B,1.46B
COGS Growth,-,1.97%,37.00%,16.00%,-31.84%
COGS excluding D&A,993M,993M,1.52B,1.82B,1.13B
Depreciation & Amortization Expense,327M,353M,329M,318M,327M
Depreciation,325M,352M,326M,317M,325M
Amortization of Intangibles,2M,1M,3M,1M,2M
Gross Income,422M,403M,470M,624M,421M
Gross Income Growth,-,-4.50%,16.63%,32.77%,-32.53%
Gross Profit Margin,-,-,-,-,22.41%
SG&A Expense,-,-,-,-,-
SGA Growth,-,-,-,-,-
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,126M,125M,134M,147M,135M
Unusual Expense,(75M),4M,212M,(286M),61M
EBIT after Unusual Expense,75M,(4M),(212M),286M,(61M)
Non Operating Income/Expense,(66M),28M,128M,124M,129M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),67M,-,-,-,-
Interest Expense,124M,119M,167M,157M,110M
Interest Expense Growth,-,-4.03%,40.34%,-5.99%,-29.94%
Gross Interest Expense,124M,119M,167M,157M,110M
Interest Capitalized,-,-,-,-,-
Pretax Income,248M,183M,85M,730M,244M
Pretax Income Growth,-,-26.21%,-53.55%,758.82%,-66.58%
Pretax Margin,-,-,-,-,12.99%
Income Tax,(3M),33M,47M,199M,54M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,251M,150M,38M,531M,190M
Minority Interest Expense,-,-,-,-,-
Net Income,251M,150M,38M,531M,190M
Net Income Growth,-,-40.24%,-74.67%,"1,297.37%",-64.22%
Net Margin Growth,-,-,-,-,10.11%
Extraordinaries & Discontinued Operations,-,68M,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,68M,616M,-,-
Net Income After Extraordinaries,251M,218M,654M,531M,190M
Preferred Dividends,30M,23M,13M,13M,11M
Net Income Available to Common,221M,195M,641M,518M,179M
EPS (Basic),0.38,0.32,1.02,0.82,0.28
EPS (Basic) Growth,-,-14.52%,216.03%,-19.21%,-65.46%
Basic Shares Outstanding,585.72M,604.61M,628.92M,629.13M,629.48M
EPS (Diluted),0.37,0.32,1.02,0.82,0.28
EPS (Diluted) Growth,-,-13.65%,218.50%,-19.50%,-65.46%
Diluted Shares Outstanding,596.33M,609.38M,628.92M,631.3M,631.66M
EBITDA,623M,631M,665M,795M,613M
EBITDA Growth,-,1.28%,5.39%,19.55%,-22.89%
EBITDA Margin,-,-,-,-,32.62%
