Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.06B,3.15B,3.18B,3.16B,9.83B
Sales Growth,-,2.84%,1.18%,-0.63%,210.52%
Cost of Goods Sold (COGS) incl. D&A,1.4B,1.87B,1.61B,1.76B,8.91B
COGS Growth,-,33.95%,-14.12%,9.71%,405.62%
COGS excluding D&A,1.06B,1.53B,1.07B,1.24B,6.64B
Depreciation & Amortization Expense,341M,341M,539M,525M,2.27B
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,1.66B,1.28B,1.58B,1.4B,916M
Gross Income Growth,-,-23.26%,23.57%,-11.15%,-34.66%
Gross Profit Margin,-,-,-,-,9.32%
SG&A Expense,952M,944M,1.07B,953M,2.56B
SGA Growth,-,-0.84%,13.24%,-10.85%,168.10%
Research & Development,-,-,-,-,-
Other SG&A,-,-,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(101M),(37M),200M,(385M),2.11B
EBIT after Unusual Expense,101M,37M,(200M),385M,(2.11B)
Non Operating Income/Expense,69M,30M,21M,22M,65M
Non-Operating Interest Income,2M,1M,14M,2M,-
Equity in Affiliates (Pretax),(7M),(9M),2M,(14M),(43M)
Interest Expense,157M,159M,163M,168M,517M
Interest Expense Growth,-,1.27%,2.52%,3.07%,207.74%
Gross Interest Expense,157M,159M,163M,168M,517M
Interest Capitalized,-,-,-,-,-
Pretax Income,720M,233M,183M,676M,(4.24B)
Pretax Income Growth,-,-67.64%,-21.46%,269.40%,-727.81%
Pretax Margin,-,-,-,-,-43.20%
Income Tax,2M,36M,92M,201M,(836M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,718M,197M,91M,475M,(3.41B)
Minority Interest Expense,46M,41M,37M,19M,10M
Net Income,672M,156M,54M,456M,(3.42B)
Net Income Growth,-,-76.79%,-65.38%,744.44%,-849.56%
Net Margin Growth,-,-,-,-,-34.79%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,672M,156M,54M,456M,(3.42B)
Preferred Dividends,72M,17M,6M,49M,-
Net Income Available to Common,600M,139M,48M,407M,(3.42B)
EPS (Basic),1.18,0.27,0.09,0.69,(1.5)
EPS (Basic) Growth,-,-76.65%,-65.82%,633.44%,-317.10%
Basic Shares Outstanding,510M,506M,511M,591M,2.29B
EPS (Diluted),1.01,0.24,0.08,0.69,(1.5)
EPS (Diluted) Growth,-,-76.61%,-65.58%,746.54%,-318.05%
Diluted Shares Outstanding,668M,663M,667M,665M,2.29B
EBITDA,1.05B,674M,1.05B,974M,627M
EBITDA Growth,-,-35.99%,55.49%,-7.06%,-35.63%
EBITDA Margin,-,-,-,-,6.38%
