Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,28.55B,30.3B,30.34B,31.01B,30.02B
Sales Growth,-,6.14%,0.13%,2.22%,-3.21%
Cost of Goods Sold (COGS) incl. D&A,12.64B,13.87B,13.46B,14.12B,12.36B
COGS Growth,-,9.76%,-2.97%,4.88%,-12.49%
COGS excluding D&A,9.26B,10.4B,9.88B,10.57B,8.89B
Depreciation & Amortization Expense,3.38B,3.48B,3.58B,3.55B,3.47B
Depreciation,2.11B,2.18B,2.22B,2.21B,2.16B
Amortization of Intangibles,1.27B,1.3B,1.36B,1.34B,1.31B
Gross Income,15.91B,16.43B,16.88B,16.89B,17.66B
Gross Income Growth,-,3.26%,2.74%,0.10%,4.55%
Gross Profit Margin,-,-,-,-,58.84%
SG&A Expense,10.4B,10.98B,12.05B,11.32B,11.29B
SGA Growth,-,5.54%,9.82%,-6.07%,-0.25%
Research & Development,-,-,-,-,-
Other SG&A,10.4B,10.98B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,126M,-,-
EBIT after Unusual Expense,-,-,(126M),-,-
Non Operating Income/Expense,257M,164M,(127M),55M,(484M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),959M,602M,310M,133M,(413M)
Interest Expense,1.09B,1.05B,994M,993M,968M
Interest Expense Growth,-,-3.93%,-5.33%,-0.10%,-2.52%
Gross Interest Expense,1.09B,1.05B,994M,993M,968M
Interest Capitalized,-,-,-,-,-
Pretax Income,5.63B,5.17B,3.89B,4.76B,4.5B
Pretax Income Growth,-,-8.24%,-24.80%,22.63%,-5.50%
Pretax Margin,-,-,-,-,15.00%
Income Tax,2B,1.24B,905M,1.29B,1.26B
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,3.63B,3.93B,2.98B,3.48B,3.24B
Minority Interest Expense,(108M),(104M),(77M),(73M),(155M)
Net Income,3.74B,4.04B,3.06B,3.55B,3.4B
Net Income Growth,-,7.95%,-24.24%,16.09%,-4.31%
Net Margin Growth,-,-,-,-,11.31%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,3.74B,4.04B,3.06B,3.55B,3.4B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,3.74B,4.04B,3.06B,3.55B,3.4B
EPS (Basic),0.81,0.88,0.67,0.79,0.76
EPS (Basic) Growth,-,8.26%,-23.32%,16.64%,-3.13%
Basic Shares Outstanding,4.6B,4.59B,4.53B,4.51B,4.46B
EPS (Diluted),0.8,0.87,0.66,0.78,0.76
EPS (Diluted) Growth,-,8.14%,-23.39%,17.49%,-2.68%
Diluted Shares Outstanding,4.67B,4.67B,4.61B,4.56B,4.48B
EBITDA,8.89B,8.93B,8.4B,9.12B,9.84B
EBITDA Growth,-,0.42%,-5.88%,8.52%,7.86%
EBITDA Margin,-,-,-,-,32.77%
