Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,1.72B,1.59B,1.66B,1.67B,1.61B
Sales Growth,-,-7.68%,4.67%,0.84%,-4.00%
Cost of Goods Sold (COGS) incl. D&A,-,729M,763M,761M,741M
COGS Growth,-,-,4.66%,-0.26%,-2.63%
COGS excluding D&A,-,645M,679M,679M,659M
Depreciation & Amortization Expense,-,84M,84M,82M,82M
Depreciation,-,30M,33M,31M,31M
Amortization of Intangibles,-,54M,51M,51M,51M
Gross Income,987M,857M,897M,913M,866M
Gross Income Growth,-,-13.17%,4.67%,1.78%,-5.15%
Gross Profit Margin,-,-,-,-,53.89%
SG&A Expense,-,516M,526M,534M,501M
SGA Growth,-,-,1.94%,1.52%,-6.18%
Research & Development,-,113M,116M,117M,115M
Other SG&A,-,403M,-,-,-
Other Operating Expense,48M,-,-,-,-
Unusual Expense,-,(3M),(107M),(44M),(2M)
EBIT after Unusual Expense,-,3M,107M,44M,2M
Non Operating Income/Expense,-,3M,(10M),(84M),(14M)
Non-Operating Interest Income,-,-,1M,1M,1M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,20M,21M,21M,21M
Interest Expense Growth,-,-,5.00%,0.00%,0.00%
Gross Interest Expense,-,20M,21M,21M,21M
Interest Capitalized,-,-,-,-,-
Pretax Income,397M,327M,448M,319M,333M
Pretax Income Growth,-,-17.63%,37.00%,-28.79%,4.39%
Pretax Margin,-,-,-,-,20.72%
Income Tax,68M,63M,6M,36M,59M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,329M,264M,442M,283M,274M
Minority Interest Expense,-,-,-,-,-
Net Income,-,264M,442M,283M,274M
Net Income Growth,-,-,67.42%,-35.97%,-3.18%
Net Margin Growth,-,-,-,-,17.05%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,264M,442M,283M,274M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,264M,442M,283M,274M
EPS (Basic),1.1,0.87,1.46,0.94,0.92
EPS (Basic) Growth,-,-21.08%,67.43%,-35.55%,-2.53%
Basic Shares Outstanding,298M,303M,303M,301M,299M
EPS (Diluted),-,0.86,1.45,0.93,0.91
EPS (Diluted) Growth,-,-,67.96%,-35.55%,-2.54%
Diluted Shares Outstanding,299M,306M,305M,303M,301M
EBITDA,-,425M,455M,461M,447M
EBITDA Growth,-,-,7.06%,1.32%,-3.04%
EBITDA Margin,-,-,-,-,27.82%
