Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.01B,3.12B,3.12B,2.8B,2.63B
Sales Growth,-,3.39%,0.03%,-10.08%,-6.21%
Cost of Goods Sold (COGS) incl. D&A,2.13B,2.16B,2.17B,2B,1.87B
COGS Growth,-,1.27%,0.23%,-7.76%,-6.36%
COGS excluding D&A,2.03B,2.06B,2.06B,1.89B,1.74B
Depreciation & Amortization Expense,103M,104M,108M,112M,127M
Depreciation,83M,101M,105M,109M,-
Amortization of Intangibles,20M,3M,3M,3M,-
Gross Income,880M,955M,951M,805M,758M
Gross Income Growth,-,8.52%,-0.42%,-15.35%,-5.84%
Gross Profit Margin,-,-,-,-,28.84%
SG&A Expense,376M,365M,371M,367M,379M
SGA Growth,-,-2.93%,1.64%,-1.08%,3.27%
Research & Development,232M,233M,228M,233M,247M
Other SG&A,144M,132M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,9M,5M,(8M),6M,26M
EBIT after Unusual Expense,(9M),(5M),8M,(6M),(26M)
Non Operating Income/Expense,59M,6M,(16M),(22M),(10M)
Non-Operating Interest Income,-,-,1M,-,1M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,57M,58M,59M,59M,63M
Interest Expense Growth,-,1.75%,1.72%,0.00%,6.78%
Gross Interest Expense,57M,58M,59M,59M,63M
Interest Capitalized,-,-,-,-,-
Pretax Income,497M,533M,514M,351M,281M
Pretax Income Growth,-,7.24%,-3.56%,-31.71%,-19.94%
Pretax Margin,-,-,-,-,10.69%
Income Tax,15M,7M,13M,5M,5M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,482M,526M,501M,346M,276M
Minority Interest Expense,-,-,-,-,-
Net Income,482M,526M,501M,346M,276M
Net Income Growth,-,9.13%,-4.75%,-30.94%,-20.23%
Net Margin Growth,-,-,-,-,10.50%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,482M,526M,501M,346M,276M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,482M,526M,501M,346M,276M
EPS (Basic),2.11,2.33,2.27,1.59,1.3
EPS (Basic) Growth,-,10.09%,-2.60%,-29.99%,-18.36%
Basic Shares Outstanding,228M,226M,221M,218M,213M
EPS (Diluted),2.07,2.28,2.23,1.56,1.27
EPS (Diluted) Growth,-,10.07%,-2.21%,-30.00%,-18.39%
Diluted Shares Outstanding,233M,231M,225M,222M,217M
EBITDA,607M,694M,688M,550M,506M
EBITDA Growth,-,14.33%,-0.86%,-20.06%,-8.00%
EBITDA Margin,-,-,-,-,19.25%
