Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,31.03B,32.41B,32.57B,37.19B,35.94B
Sales Growth,-,4.45%,0.50%,14.18%,-3.36%
Premiums Earned,27.63B,28.88B,28.88B,31.89B,31.51B
Total Investment Income,-,-,-,-,-
Realized Gains (Losses),-,-,-,-,-
Other Operating Income,3.4B,3.53B,3.69B,5.3B,4.43B
"Losses, Claims & Reserves",24.39B,25.43B,25.39B,27.84B,27.31B
"Losses, Claims & Reserves Growth",-,4.27%,-0.15%,9.63%,-1.89%
"Losses, Benefits & Adjustments",24.39B,25.43B,25.39B,27.84B,27.31B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",5.76B,6.15B,6.54B,7.99B,7.28B
SGA Growth,-,6.70%,6.42%,22.14%,-8.98%
"Selling, General & Admin. Expenses",2.42B,2.83B,3B,3B,3.14B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,-,-,-,-,-
Other Operating Expense,3.34B,3.32B,3.54B,4.99B,4.14B
Operating Income Before Interest Expense,873M,827M,632M,1.35B,1.35B
Operating Income Growth,-,-5.27%,-23.58%,114.24%,-0.37%
"Interest Expense, Net of Interest Capitalized",163M,170M,162M,160M,162M
Interest Expense (excl. Interest Capitalized),163M,170M,162M,160M,162M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,873M,827M,632M,1.35B,1.35B
Non-Operating Income (Expense),-,115M,253M,52M,42M
Miscellaneous Non Operating Expense,-,115M,253M,52M,42M
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,1.29B,52M,29M,98M,1.47B
Pretax Income,(542M),720M,694M,1.15B,(236M)
Pretax Income Growth,-,232.84%,-3.61%,65.42%,-120.56%
Income Tax,(7M),139M,101M,296M,(65M)
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,(535M),581M,593M,852M,(171M)
Minority Interest Expense,-,(3M),(6M),3M,1M
Net Income,(535M),584M,599M,849M,(172M)
Net Income Growth,-,209.16%,2.57%,41.74%,-120.26%
Net Margin Growth,-,-,-,-,-0.48%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,(535M),584M,599M,849M,(172M)
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(535M),584M,599M,849M,(172M)
EPS (Basic),(0.92),1,1.03,1.46,(0.29)
EPS (Basic) Growth,-,209.07%,2.54%,41.78%,-120.24%
Basic Shares Outstanding,582.8M,583.24M,583.42M,583.23M,583.64M
EPS (Diluted),(0.92),0.99,1.01,1.44,(0.29)
EPS (Diluted) Growth,-,207.69%,2.39%,42.01%,-120.50%
Diluted Shares Outstanding,582.8M,590.7M,591.76M,590.66M,583.64M
