Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,27.48B,27.57B,22.92B,21.34B,23.66B
Sales Growth,-,0.34%,-16.87%,-6.89%,10.87%
Cost of Goods Sold (COGS) incl. D&A,-,18.67B,15.76B,14.75B,16.05B
COGS Growth,-,-,-15.59%,-6.39%,8.85%
COGS excluding D&A,-,18.08B,15.14B,14.12B,15.42B
Depreciation & Amortization Expense,-,592M,612M,628M,638M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,8.68B,8.9B,7.16B,6.59B,7.61B
Gross Income Growth,-,2.52%,-19.56%,-7.99%,15.40%
Gross Profit Margin,-,-,-,-,32.14%
SG&A Expense,-,4.69B,4.37B,4.74B,4.3B
SGA Growth,-,-,-6.82%,8.42%,-9.24%
Research & Development,-,-,-,-,-
Other SG&A,-,4.69B,4.37B,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,-,(6M),(8M),(16M),(8M)
Non-Operating Interest Income,-,3M,3M,2M,2M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,213M,218M,221M,237M
Interest Expense Growth,-,-,2.35%,1.38%,7.24%
Gross Interest Expense,-,214M,219M,222M,238M
Interest Capitalized,-,1M,1M,1M,1M
Pretax Income,3.97B,3.99B,2.57B,1.61B,3.06B
Pretax Income Growth,-,0.73%,-35.75%,-37.10%,89.53%
Pretax Margin,-,-,-,-,12.93%
Income Tax,973M,976M,670M,408M,726M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(9M),(11M),(7M),(4M),(8M)
Consolidated Net Income,2.98B,3.01B,1.89B,1.2B,2.33B
Minority Interest Expense,-,-,-,-,-
Net Income,-,3.01B,1.89B,1.2B,2.33B
Net Income Growth,-,-,-37.18%,-36.37%,93.43%
Net Margin Growth,-,-,-,-,9.83%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,3.01B,1.89B,1.2B,2.33B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,3.01B,1.89B,1.2B,2.33B
EPS (Basic),4.68,4.27,2.74,1.79,3.52
EPS (Basic) Growth,-,-8.78%,-35.81%,-34.76%,97.24%
Basic Shares Outstanding,638M,705M,690M,673M,660M
EPS (Diluted),-,4.25,2.73,1.78,3.51
EPS (Diluted) Growth,-,-,-35.82%,-34.86%,97.52%
Diluted Shares Outstanding,639M,707M,692M,676M,662M
EBITDA,-,4.8B,3.4B,2.48B,3.94B
EBITDA Growth,-,-,-29.18%,-27.17%,59.06%
EBITDA Margin,-,-,-,-,16.65%
