Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.76B,3.42B,3.65B,3.87B,3.76B
Sales Growth,-,-9.10%,6.97%,6.02%,-2.97%
Cost of Goods Sold (COGS) incl. D&A,3B,2.77B,3.03B,3.12B,3.05B
COGS Growth,-,-7.74%,9.51%,3.14%,-2.43%
COGS excluding D&A,2.8B,2.57B,2.84B,2.94B,2.86B
Depreciation & Amortization Expense,195M,195M,187M,180M,185M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,761M,651M,626M,751M,712M
Gross Income Growth,-,-14.45%,-3.84%,19.97%,-5.19%
Gross Profit Margin,-,-,-,-,18.94%
SG&A Expense,368M,349M,377M,387M,389M
SGA Growth,-,-5.16%,8.02%,2.65%,0.52%
Research & Development,166M,184M,174M,191M,207M
Other SG&A,202M,165M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,72M,107M,51M,72M,23M
EBIT after Unusual Expense,(72M),(107M),(51M),(72M),(23M)
Non Operating Income/Expense,9M,13M,(27M),36M,(1M)
Non-Operating Interest Income,3M,3M,3M,4M,6M
Equity in Affiliates (Pretax),16M,12M,8M,8M,11M
Interest Expense,47M,27M,27M,25M,28M
Interest Expense Growth,-,-42.55%,0.00%,-7.41%,12.00%
Gross Interest Expense,47M,27M,27M,25M,28M
Interest Capitalized,-,-,-,-,-
Pretax Income,302M,196M,155M,315M,288M
Pretax Income Growth,-,-35.10%,-20.92%,103.23%,-8.57%
Pretax Margin,-,-,-,-,7.66%
Income Tax,28M,79M,1M,91M,57M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,274M,117M,154M,224M,231M
Minority Interest Expense,27M,21M,25M,24M,15M
Net Income,247M,96M,129M,200M,216M
Net Income Growth,-,-61.13%,34.38%,55.04%,8.00%
Net Margin Growth,-,-,-,-,5.75%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,247M,96M,129M,200M,216M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,247M,96M,129M,200M,216M
EPS (Basic),1.04,0.4,0.54,0.84,0.91
EPS (Basic) Growth,-,-61.13%,33.50%,56.06%,8.60%
Basic Shares Outstanding,238.2M,238.2M,239.78M,238.2M,236.9M
EPS (Diluted),1.03,0.4,0.54,0.84,0.91
EPS (Diluted) Growth,-,-61.17%,34.40%,55.54%,8.46%
Diluted Shares Outstanding,239.6M,239.8M,239.78M,239M,238M
EBITDA,588M,497M,436M,544M,508M
EBITDA Growth,-,-15.48%,-12.27%,24.77%,-6.62%
EBITDA Margin,-,-,-,-,13.51%
