Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.63B,2.65B,2.58B,2.37B,2.41B
Sales Growth,-,0.80%,-2.59%,-7.98%,1.32%
Cost of Goods Sold (COGS) incl. D&A,532.6M,644.5M,787.2M,897.1M,618.7M
COGS Growth,-,21.01%,22.14%,13.96%,-31.03%
COGS excluding D&A,459.7M,511.8M,660.1M,753.9M,484M
Depreciation & Amortization Expense,72.9M,132.7M,127.1M,143.2M,134.7M
Depreciation,54.7M,65.1M,66.6M,76.3M,67.2M
Amortization of Intangibles,18.2M,67.6M,60.5M,66.9M,67.5M
Gross Income,2.1B,2B,1.79B,1.48B,1.79B
Gross Income Growth,-,-4.34%,-10.55%,-17.61%,20.97%
Gross Profit Margin,-,-,-,-,74.28%
SG&A Expense,1.17B,1.29B,1.42B,1.11B,1.03B
SGA Growth,-,10.59%,10.02%,-21.85%,-6.87%
Research & Development,530.4M,637.3M,632.9M,475.4M,461.4M
Other SG&A,637.3M,654.1M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,609.8M,42M,27.2M,50.8M,933.4M
EBIT after Unusual Expense,(609.8M),(42M),(27.2M),(50.8M),(933.4M)
Non Operating Income/Expense,124.2M,(440.6M),(92.6M),(165.9M),1.39B
Non-Operating Interest Income,2.7M,2.6M,2.8M,2.9M,12.6M
Equity in Affiliates (Pretax),194M,124.6M,216.3M,260.5M,110.5M
Interest Expense,56.4M,66.3M,66.3M,66.1M,65.8M
Interest Expense Growth,-,17.55%,0.00%,-0.30%,-0.45%
Gross Interest Expense,56.4M,66.3M,66.3M,66.1M,65.8M
Interest Capitalized,-,-,-,-,-
Pretax Income,582.1M,291.1M,405M,347.4M,1.27B
Pretax Income Growth,-,-49.99%,39.13%,-14.22%,265.43%
Pretax Margin,-,-,-,-,52.77%
Income Tax,(409.1M),(25.9M),443.2M,125.6M,216.7M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,34.3M,1.1M,17.7M,(3.3M),5.9M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.03B,318.1M,(20.5M),218.5M,1.06B
Minority Interest Expense,577M,(11.1M),(388.7M),(85.3M),700K
Net Income,448.5M,329.2M,368.2M,303.8M,1.06B
Net Income Growth,-,-26.60%,11.85%,-17.49%,248.26%
Net Margin Growth,-,-,-,-,43.98%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,448.5M,329.2M,368.2M,303.8M,1.06B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,448.5M,329.2M,368.2M,303.8M,1.06B
EPS (Basic),3,2.22,2.51,2.07,7.25
EPS (Basic) Growth,-,-25.76%,12.69%,-17.60%,251.11%
Basic Shares Outstanding,149.7M,148M,146.9M,147.1M,145.9M
EPS (Diluted),2.99,2.22,2.5,2.06,7.24
EPS (Diluted) Growth,-,-25.86%,12.68%,-17.55%,251.59%
Diluted Shares Outstanding,150.1M,148.6M,147.5M,147.6M,146.2M
EBITDA,1B,845.5M,499.1M,510M,887.5M
EBITDA Growth,-,-15.48%,-40.97%,2.18%,74.02%
EBITDA Margin,-,-,-,-,36.89%
