Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,4.36B,4.37B,4.19B,4.31B,4.69B
Sales Growth,-,0.30%,-4.16%,2.82%,8.89%
Cost of Goods Sold (COGS) incl. D&A,2.78B,2.88B,2.85B,2.85B,3.1B
COGS Growth,-,3.82%,-1.21%,0.00%,8.70%
COGS excluding D&A,2.63B,2.73B,2.69B,2.7B,2.95B
Depreciation & Amortization Expense,149M,151M,157M,151M,143M
Depreciation,108M,105M,111M,108M,101M
Amortization of Intangibles,41M,46M,46M,43M,42M
Gross Income,1.58B,1.49B,1.34B,1.46B,1.59B
Gross Income Growth,-,-5.88%,-9.88%,8.80%,9.25%
Gross Profit Margin,-,-,-,-,33.98%
SG&A Expense,1.06B,1.06B,1.1B,1.09B,1.1B
SGA Growth,-,0.19%,3.38%,-1.00%,0.73%
Research & Development,107M,114M,116M,115M,115M
Other SG&A,955M,950M,-,-,-
Other Operating Expense,10M,1M,2M,25M,13M
Unusual Expense,(35M),8M,(47M),275M,(76M)
EBIT after Unusual Expense,35M,(8M),47M,(275M),76M
Non Operating Income/Expense,77M,52M,20M,26M,36M
Non-Operating Interest Income,6M,7M,7M,9M,11M
Equity in Affiliates (Pretax),-,4M,6M,-,-
Interest Expense,34M,37M,37M,27M,41M
Interest Expense Growth,-,8.82%,0.00%,-27.03%,51.85%
Gross Interest Expense,34M,37M,37M,27M,41M
Interest Capitalized,-,-,-,-,-
Pretax Income,593M,441M,282M,78M,566M
Pretax Income Growth,-,-25.63%,-36.05%,-72.34%,625.64%
Pretax Margin,-,-,-,-,12.07%
Income Tax,160M,96M,4M,55M,118M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,433M,345M,278M,23M,448M
Minority Interest Expense,2M,1M,11M,5M,5M
Net Income,431M,344M,267M,18M,443M
Net Income Growth,-,-20.19%,-22.38%,-93.26%,"2,361.11%"
Net Margin Growth,-,-,-,-,9.44%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,19M,-,(2M)
Net Income After Extraordinaries,431M,344M,286M,18M,441M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,431M,344M,286M,18M,441M
EPS (Basic),1.81,1.45,1.2,0.08,1.87
EPS (Basic) Growth,-,-20.22%,-16.69%,-93.68%,"2,351.38%"
Basic Shares Outstanding,237.8M,237.9M,237.4M,236.6M,236.4M
EPS (Diluted),1.8,1.43,1.2,0.08,1.86
EPS (Diluted) Growth,-,-20.19%,-16.65%,-93.68%,"2,355.16%"
Diluted Shares Outstanding,239.8M,239.8M,239.2M,238.2M,237.6M
EBITDA,658M,574M,396M,496M,627M
EBITDA Growth,-,-12.77%,-31.01%,25.25%,26.41%
EBITDA Margin,-,-,-,-,13.37%
