Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,36.39B,42.35B,46.21B,53.19B,65.45B
Sales Growth,-,16.39%,9.11%,15.11%,23.05%
Cost of Goods Sold (COGS) incl. D&A,30.14B,33.63B,37.42B,42.05B,50.09B
COGS Growth,-,11.57%,11.28%,12.36%,19.13%
COGS excluding D&A,25.61B,29.29B,32.96B,38.26B,46.29B
Depreciation & Amortization Expense,4.54B,4.34B,4.46B,3.79B,3.8B
Depreciation,4.54B,4.34B,4.46B,3.79B,3.8B
Amortization of Intangibles,-,-,-,-,-
Gross Income,6.24B,8.72B,8.79B,11.14B,15.36B
Gross Income Growth,-,39.69%,0.76%,26.80%,37.84%
Gross Profit Margin,-,-,-,-,23.47%
SG&A Expense,1.26B,757M,1.36B,1.03B,850M
SGA Growth,-,-39.97%,79.26%,-24.02%,-17.56%
Research & Development,-,-,-,-,-
Other SG&A,1.26B,757M,-,-,-
Other Operating Expense,1.57B,2.08B,1.78B,2B,1.56B
Unusual Expense,285M,(174M),368M,977M,210M
EBIT after Unusual Expense,(285M),174M,(368M),(977M),(210M)
Non Operating Income/Expense,34M,519M,621M,(27M),930M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),1.44B,1.65B,1.66B,2.09B,2.47B
Interest Expense,185M,174M,155M,136M,129M
Interest Expense Growth,-,-5.95%,-10.92%,-12.26%,-5.15%
Gross Interest Expense,185M,174M,155M,136M,129M
Interest Capitalized,-,-,-,-,-
Pretax Income,4.42B,8.06B,6.99B,9.05B,16B
Pretax Income Growth,-,82.16%,-13.28%,29.62%,76.75%
Pretax Margin,-,-,-,-,24.45%
Income Tax,1.33B,1.94B,1.9B,2.78B,4.29B
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,3.09B,6.12B,5.08B,6.28B,11.72B
Minority Interest Expense,12M,4M,27M,18M,93M
Net Income,3.08B,6.11B,5.06B,6.26B,11.62B
Net Income Growth,-,98.28%,-17.28%,23.82%,85.68%
Net Margin Growth,-,-,-,-,17.76%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,3.08B,6.11B,5.06B,6.26B,11.62B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,3.08B,6.11B,5.06B,6.26B,11.62B
EPS (Basic),1.61,3.19,2.64,3.23,5.97
EPS (Basic) Growth,-,98.23%,-17.17%,22.52%,84.54%
Basic Shares Outstanding,1.92B,1.92B,1.92B,1.94B,1.95B
EPS (Diluted),1.6,3.18,2.63,3.22,5.94
EPS (Diluted) Growth,-,98.37%,-17.32%,22.39%,84.49%
Diluted Shares Outstanding,1.92B,1.92B,1.92B,1.94B,1.96B
EBITDA,7.95B,10.23B,10.11B,11.9B,16.74B
EBITDA Growth,-,28.62%,-1.13%,17.65%,40.73%
EBITDA Margin,-,-,-,-,25.58%
