Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,919.98M,942.7M,1.07B,1.14B,1.29B
Sales Growth,-,2.47%,13.19%,6.45%,13.69%
Cost of Goods Sold (COGS) incl. D&A,591.3M,618.91M,722.18M,801.16M,860.28M
COGS Growth,-,4.67%,16.69%,10.94%,7.38%
COGS excluding D&A,570.07M,595.69M,692.82M,762.7M,821.18M
Depreciation & Amortization Expense,21.23M,23.22M,29.36M,38.46M,39.1M
Depreciation,10.18M,11.01M,11.71M,12.41M,13.22M
Amortization of Intangibles,11.05M,12.21M,17.65M,26.05M,25.88M
Gross Income,328.68M,323.79M,344.89M,334.69M,431.11M
Gross Income Growth,-,-1.49%,6.52%,-2.96%,28.81%
Gross Profit Margin,-,-,-,-,33.38%
SG&A Expense,145.73M,150.21M,156.74M,179.96M,210.15M
SGA Growth,-,3.07%,4.35%,14.81%,16.78%
Research & Development,25.34M,27.17M,29.41M,39.74M,41.6M
Other SG&A,120.39M,123.04M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,3.58M,(2.94M),5.52M,(18.73M),726K
EBIT after Unusual Expense,(3.58M),2.94M,(5.52M),18.73M,(726K)
Non Operating Income/Expense,(373K),(400K),223K,246K,505K
Non-Operating Interest Income,244K,165K,403K,77K,92K
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,4.97M,10.92M,16.68M,28.28M,17.36M
Interest Expense Growth,-,119.78%,52.72%,69.57%,-38.60%
Gross Interest Expense,4.97M,10.92M,16.68M,28.28M,17.36M
Interest Capitalized,-,-,-,-,-
Pretax Income,174.27M,165.36M,166.58M,145.5M,203.46M
Pretax Income Growth,-,-5.11%,0.73%,-12.65%,39.83%
Pretax Margin,-,-,-,-,15.76%
Income Tax,46.36M,32.61M,20.62M,28.61M,45.83M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,127.91M,132.75M,145.96M,116.9M,157.64M
Minority Interest Expense,(874K),8.74M,14.48M,14.99M,14.92M
Net Income,128.78M,124.01M,131.48M,101.91M,142.71M
Net Income Growth,-,-3.70%,6.02%,-22.49%,40.04%
Net Margin Growth,-,-,-,-,11.05%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,128.78M,124.01M,131.48M,101.91M,142.71M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,128.78M,124.01M,131.48M,101.91M,142.71M
EPS (Basic),2.06,1.98,2.09,1.61,2.24
EPS (Basic) Growth,-,-3.84%,5.51%,-23.05%,39.57%
Basic Shares Outstanding,62.61M,62.69M,62.99M,63.45M,63.66M
EPS (Diluted),2.01,1.93,2.04,1.57,2.21
EPS (Diluted) Growth,-,-3.88%,5.57%,-22.90%,40.29%
Diluted Shares Outstanding,64.09M,64.21M,64.49M,64.83M,64.71M
EBITDA,204.18M,196.8M,217.51M,193.2M,260.05M
EBITDA Growth,-,-3.62%,10.53%,-11.18%,34.61%
EBITDA Margin,-,-,-,-,20.14%
