Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,3.44B,3.39B,3.64B,3.57B,3.55B
Sales Growth,-,-1.34%,7.26%,-1.84%,-0.48%
Cost of Goods Sold (COGS) incl. D&A,2.67B,2.59B,2.63B,2.58B,2.6B
COGS Growth,-,-2.89%,1.43%,-1.83%,0.89%
COGS excluding D&A,2.32B,2.25B,2.36B,2.32B,2.33B
Depreciation & Amortization Expense,343M,336M,262M,255M,270M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,770M,801M,1.01B,991M,951M
Gross Income Growth,-,4.03%,26.09%,-1.88%,-4.04%
Gross Profit Margin,-,-,-,-,26.77%
SG&A Expense,482M,498M,542M,488M,483M
SGA Growth,-,3.32%,8.84%,-9.96%,-1.02%
Research & Development,-,-,-,-,-
Other SG&A,482M,498M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,(11M),(1M),(12M),6M,-
EBIT after Unusual Expense,11M,1M,12M,(6M),-
Non Operating Income/Expense,11M,54M,(23M),(12M),(55M)
Non-Operating Interest Income,1M,2M,2M,1M,2M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,89M,87M,83M,86M,87M
Interest Expense Growth,-,-2.25%,-4.60%,3.61%,1.16%
Gross Interest Expense,89M,87M,83M,86M,87M
Interest Capitalized,-,-,-,-,-
Pretax Income,222M,273M,376M,400M,328M
Pretax Income Growth,-,22.97%,37.73%,6.38%,-18.00%
Pretax Margin,-,-,-,-,9.23%
Income Tax,48M,12M,59M,71M,71M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,1M,-,1M,(4M),(1M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,175M,261M,318M,325M,256M
Minority Interest Expense,-,-,-,-,-
Net Income,175M,261M,318M,325M,256M
Net Income Growth,-,49.14%,21.84%,2.20%,-21.23%
Net Margin Growth,-,-,-,-,7.21%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,175M,261M,318M,325M,256M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,175M,261M,318M,325M,256M
EPS (Basic),0.91,1.36,1.67,1.71,1.36
EPS (Basic) Growth,-,49.21%,22.29%,2.63%,-20.52%
Basic Shares Outstanding,191.6M,191.5M,190.8M,190M,188.3M
EPS (Diluted),0.9,1.34,1.63,1.68,1.34
EPS (Diluted) Growth,-,48.84%,22.15%,2.95%,-20.29%
Diluted Shares Outstanding,194.9M,195.3M,194.8M,193.4M,191.1M
EBITDA,631M,639M,730M,758M,738M
EBITDA Growth,-,1.27%,14.24%,3.84%,-2.64%
EBITDA Margin,-,-,-,-,20.78%
