Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,747.5M,759M,766M,775.5M,746.3M
Sales Growth,-,1.54%,0.92%,1.24%,-3.77%
Cost of Goods Sold (COGS) incl. D&A,368.7M,355M,361.8M,374.7M,335.7M
COGS Growth,-,-3.72%,1.92%,3.57%,-10.41%
COGS excluding D&A,264.9M,265.3M,265.2M,280.5M,246.1M
Depreciation & Amortization Expense,103.8M,89.7M,96.6M,94.2M,89.6M
Depreciation,53.3M,52.1M,53M,49.6M,49.8M
Amortization of Intangibles,50.5M,37.6M,43.6M,44.6M,39.8M
Gross Income,378.8M,404M,404.2M,400.8M,410.6M
Gross Income Growth,-,6.65%,0.05%,-0.84%,2.45%
Gross Profit Margin,-,-,-,-,55.02%
SG&A Expense,111.1M,115M,74.5M,133.9M,125.6M
SGA Growth,-,3.51%,-35.22%,79.73%,-6.20%
Research & Development,-,-,-,-,-
Other SG&A,111.1M,115M,-,-,-
Other Operating Expense,-,-,-,-,15.6M
Unusual Expense,300K,100K,135.9M,75.1M,300K
EBIT after Unusual Expense,(300K),(100K),(135.9M),(75.1M),(300K)
Non Operating Income/Expense,(500K),100K,600K,450.4M,4.7M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,31.5M,29.9M,30.2M,31.3M,31.8M
Interest Expense Growth,-,-5.08%,1.00%,3.64%,1.60%
Gross Interest Expense,31.5M,29.9M,30.2M,31.3M,31.8M
Interest Capitalized,-,-,-,-,-
Pretax Income,235.4M,259.1M,164.2M,610.9M,242M
Pretax Income Growth,-,10.07%,-36.63%,272.05%,-60.39%
Pretax Margin,-,-,-,-,32.43%
Income Tax,83.8M,54.2M,22.4M,105.1M,44.2M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,151.6M,204.9M,141.8M,505.8M,197.8M
Minority Interest Expense,(2.4M),3.2M,(100K),100K,100K
Net Income,154M,201.7M,141.9M,505.7M,197.7M
Net Income Growth,-,30.97%,-29.65%,256.38%,-60.91%
Net Margin Growth,-,-,-,-,26.49%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,154M,201.7M,141.9M,505.7M,197.7M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,154M,201.7M,141.9M,505.7M,197.7M
EPS (Basic),0.95,1.25,0.88,3.15,1.25
EPS (Basic) Growth,-,31.49%,-29.63%,257.84%,-60.23%
Basic Shares Outstanding,162.01M,161.37M,161.35M,160.68M,157.97M
EPS (Diluted),0.94,1.24,0.87,3.13,1.24
EPS (Diluted) Growth,-,31.18%,-29.78%,259.61%,-60.29%
Diluted Shares Outstanding,163.05M,162.79M,163.08M,161.64M,159.12M
EBITDA,371.5M,378.7M,426.3M,361.1M,359M
EBITDA Growth,-,1.94%,12.57%,-15.29%,-0.58%
EBITDA Margin,-,-,-,-,48.10%
