Item,30-Apr-2021,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,6.61B,6.78B,7.41B,7.71B,8.1B
Sales Growth,-,2.54%,9.28%,4.04%,5.15%
Cost of Goods Sold (COGS) incl. D&A,3.05B,3.07B,3.26B,3.05B,3.06B
COGS Growth,-,0.92%,6.05%,-6.38%,0.29%
COGS excluding D&A,1.54B,1.57B,1.76B,1.77B,1.8B
Depreciation & Amortization Expense,1.5B,1.5B,1.5B,1.29B,1.26B
Depreciation,157M,158M,158M,160M,159M
Amortization of Intangibles,1.35B,1.35B,1.34B,1.13B,1.11B
Gross Income,3.56B,3.7B,4.15B,4.65B,5.04B
Gross Income Growth,-,3.93%,11.96%,12.23%,8.34%
Gross Profit Margin,-,-,-,-,62.22%
SG&A Expense,1.56B,1.55B,1.52B,1.53B,1.63B
SGA Growth,-,-0.77%,-2.00%,0.46%,6.68%
Research & Development,1.24B,1.21B,1.2B,1.21B,1.26B
Other SG&A,325M,346M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,26M,27M,69M,19M,19M
EBIT after Unusual Expense,(26M),(27M),(69M),(19M),(19M)
Non Operating Income/Expense,(23M),15M,22M,(14M),(86M)
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,466M,415M,411M,407M,518M
Interest Expense Growth,-,-10.94%,-0.96%,-0.97%,27.27%
Gross Interest Expense,466M,415M,411M,407M,518M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.49B,1.73B,2.17B,2.69B,2.79B
Pretax Income Growth,-,16.15%,25.67%,23.88%,3.83%
Pretax Margin,-,-,-,-,34.43%
Income Tax,(7M),(150M),180M,215M,200M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.49B,1.88B,1.99B,2.47B,2.59B
Minority Interest Expense,-,-,-,-,-
Net Income,1.49B,1.88B,1.99B,2.47B,2.59B
Net Income Growth,-,25.65%,6.02%,24.28%,4.77%
Net Margin Growth,-,-,-,-,31.96%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.49B,1.88B,1.99B,2.47B,2.59B
Preferred Dividends,76M,74M,75M,74M,75M
Net Income Available to Common,1.42B,1.8B,1.91B,2.4B,2.52B
EPS (Basic),3.46,4.38,4.65,5.82,6.16
EPS (Basic) Growth,-,26.55%,5.96%,25.29%,5.91%
Basic Shares Outstanding,409M,411M,412M,412M,408M
EPS (Diluted),3.3,4.2,4.45,5.59,5.93
EPS (Diluted) Growth,-,27.17%,5.97%,25.58%,6.12%
Diluted Shares Outstanding,429M,429M,430M,429M,424M
EBITDA,3.51B,3.66B,4.13B,4.41B,4.68B
EBITDA Growth,-,4.31%,12.91%,6.93%,5.96%
EBITDA Margin,-,-,-,-,57.72%
