Item,31-May-2021,31-Aug-2021,30-Nov-2021,28-Feb-2022,31-May-2022
Sales/Revenue,4.52B,4.54B,5.02B,4.54B,4.89B
Sales Growth,-,0.36%,10.66%,-9.68%,7.79%
Cost of Goods Sold (COGS) incl. D&A,3B,2.98B,3.41B,3.3B,3.24B
COGS Growth,-,-0.84%,14.59%,-3.43%,-1.78%
COGS excluding D&A,2.86B,2.83B,3.27B,3.15B,3.1B
Depreciation & Amortization Expense,146.8M,145.8M,141.1M,143.7M,139.7M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,1.52B,1.56B,1.61B,1.24B,1.65B
Gross Income Growth,-,2.72%,3.18%,-22.92%,33.21%
Gross Profit Margin,-,-,-,-,33.81%
SG&A Expense,813.5M,757.4M,828.8M,751.4M,793.4M
SGA Growth,-,-6.90%,9.43%,-9.34%,5.59%
Research & Development,-,-,-,-,-
Other SG&A,813.5M,757.4M,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,104.6M,(6.1M),17.5M,(107.2M),(132M)
EBIT after Unusual Expense,(104.6M),6.1M,(17.5M),107.2M,132M
Non Operating Income/Expense,(20.2M),76.3M,51.5M,268.4M,53M
Non-Operating Interest Income,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,102.6M,107.9M,80.6M,109.6M,104.5M
Interest Expense Growth,-,5.17%,-25.30%,35.98%,-4.65%
Gross Interest Expense,102.6M,107.9M,80.6M,109.6M,104.5M
Interest Capitalized,-,-,-,-,-
Pretax Income,478.6M,778M,735.1M,755.9M,940.6M
Pretax Income Growth,-,62.56%,-5.51%,2.83%,24.43%
Pretax Margin,-,-,-,-,19.23%
Income Tax,106.9M,168.9M,159.7M,123.2M,134.5M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,28.2M,29.1M,33M,29.9M,19.7M
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,399.9M,638.2M,608.4M,662.6M,825.8M
Minority Interest Expense,(16.9M),11.2M,11.2M,2.3M,3M
Net Income,416.8M,627M,597.2M,660.3M,822.8M
Net Income Growth,-,50.43%,-4.75%,10.57%,24.61%
Net Margin Growth,-,-,-,-,16.82%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,416.8M,627M,597.2M,660.3M,822.8M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,416.8M,627M,597.2M,660.3M,822.8M
EPS (Basic),0.68,1.03,0.98,1.09,1.36
EPS (Basic) Growth,-,50.93%,-4.47%,10.89%,25.00%
Basic Shares Outstanding,612.4M,610.4M,608.6M,606.8M,604.9M
EPS (Diluted),0.68,1.02,0.97,1.08,1.35
EPS (Diluted) Growth,-,51.08%,-4.47%,10.68%,24.98%
Diluted Shares Outstanding,617.5M,614.8M,613M,612.4M,610.6M
EBITDA,852.8M,949.3M,922.8M,633.6M,999.8M
EBITDA Growth,-,11.32%,-2.79%,-31.34%,57.80%
EBITDA Margin,-,-,-,-,20.44%
