Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,10.22B,10.93B,11.47B,11.9B,11.26B
Sales Growth,-,6.90%,4.94%,3.72%,-5.36%
Cost of Goods Sold (COGS) incl. D&A,4.85B,4.87B,5.26B,5.53B,5.48B
COGS Growth,-,0.41%,8.03%,5.08%,-0.78%
COGS excluding D&A,3.97B,4.02B,4.38B,4.7B,4.66B
Depreciation & Amortization Expense,874M,847M,883M,823M,822M
Depreciation,370M,327M,369M,311M,315M
Amortization of Intangibles,504M,520M,514M,512M,507M
Gross Income,5.38B,6.06B,6.21B,6.37B,5.77B
Gross Income Growth,-,12.74%,2.46%,2.58%,-9.34%
Gross Profit Margin,-,-,-,-,51.29%
SG&A Expense,3.38B,3.44B,3.76B,3.48B,3.44B
SGA Growth,-,1.81%,9.42%,-7.39%,-1.23%
Research & Development,654M,672M,758M,697M,684M
Other SG&A,2.72B,2.77B,-,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,514M,(16M),24M,-,-
EBIT after Unusual Expense,(514M),16M,(24M),-,-
Non Operating Income/Expense,(11M),(36M),(18M),(13M),78M
Non-Operating Interest Income,11M,10M,11M,14M,26M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,136M,119M,89M,10M,85M
Interest Expense Growth,-,-12.50%,-25.21%,-88.76%,750.00%
Gross Interest Expense,136M,119M,89M,10M,85M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.35B,2.49B,2.33B,2.88B,2.35B
Pretax Income Growth,-,84.94%,-6.66%,23.59%,-18.22%
Pretax Margin,-,-,-,-,20.89%
Income Tax,159M,393M,338M,429M,334M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),(5M),(8M),(8M),(9M),(9M)
Consolidated Net Income,1.18B,2.09B,1.98B,2.44B,2.01B
Minority Interest Expense,-,-,-,-,-
Net Income,1.18B,2.09B,1.98B,2.44B,2.01B
Net Income Growth,-,76.69%,-5.31%,23.07%,-17.60%
Net Margin Growth,-,-,-,-,17.85%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.18B,2.09B,1.98B,2.44B,2.01B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.18B,2.09B,1.98B,2.44B,2.01B
EPS (Basic),0.67,1.18,1.12,1.38,1.15
EPS (Basic) Growth,-,76.40%,-4.74%,23.21%,-17.21%
Basic Shares Outstanding,1.78B,1.77B,1.76B,1.76B,1.75B
EPS (Diluted),0.66,1.17,1.11,1.37,1.14
EPS (Diluted) Growth,-,76.38%,-4.93%,23.59%,-17.17%
Diluted Shares Outstanding,1.79B,1.79B,1.78B,1.77B,1.77B
EBITDA,2.87B,3.47B,3.33B,3.71B,3.16B
EBITDA Growth,-,20.79%,-4.01%,11.35%,-14.91%
EBITDA Margin,-,-,-,-,28.03%
