Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,2.81B,2.93B,2.95B,2.97B,3.41B
Sales Growth,-,4.31%,0.65%,0.54%,14.98%
Cost of Goods Sold (COGS) incl. D&A,1.97B,2.07B,2.13B,2.09B,2.42B
COGS Growth,-,4.64%,3.08%,-1.66%,15.76%
COGS excluding D&A,1.65B,1.74B,1.81B,1.76B,2.06B
Depreciation & Amortization Expense,323.7M,322.1M,319.8M,332.1M,360M
Depreciation,305.9M,303.5M,299.7M,311.3M,333.9M
Amortization of Intangibles,17.8M,18.6M,20.1M,20.8M,26.1M
Gross Income,838.4M,867.8M,823.2M,874.4M,989.2M
Gross Income Growth,-,3.51%,-5.14%,6.22%,13.13%
Gross Profit Margin,-,-,-,-,28.98%
SG&A Expense,315.8M,299M,315.5M,307.8M,391.5M
SGA Growth,-,-5.32%,5.52%,-2.44%,27.19%
Research & Development,-,-,-,-,-
Other SG&A,315.8M,299M,-,-,-
Other Operating Expense,-,-,-,-,2.2M
Unusual Expense,3.8M,4.6M,13M,6M,5.9M
EBIT after Unusual Expense,(3.8M),(4.6M),(13M),(6M),(5.9M)
Non Operating Income/Expense,300K,(100K),(11.1M),(800K),(4.3M)
Non-Operating Interest Income,600K,600K,600K,500K,700K
Equity in Affiliates (Pretax),(12.4M),(15.1M),(144.5M),(3.8M),(13.6M)
Interest Expense,79.9M,78.9M,62.8M,84.3M,94.3M
Interest Expense Growth,-,-1.25%,-20.41%,34.24%,11.86%
Gross Interest Expense,80.9M,80.2M,65M,85M,94.9M
Interest Capitalized,1M,1.3M,2.2M,700K,600K
Pretax Income,427.4M,470.7M,276.9M,472.2M,478.1M
Pretax Income Growth,-,10.13%,-41.17%,70.53%,1.25%
Pretax Margin,-,-,-,-,14.01%
Income Tax,95.4M,119.9M,(36.2M),120.3M,106.3M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,36K,(39K),-,(12K)
Consolidated Net Income,332M,350.84M,313.06M,351.9M,371.79M
Minority Interest Expense,900K,500K,-,(100K),(100K)
Net Income,331.1M,350.34M,313.06M,352M,371.89M
Net Income Growth,-,5.81%,-10.64%,12.44%,5.65%
Net Margin Growth,-,-,-,-,10.89%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,331.1M,350.34M,313.06M,352M,371.89M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,331.1M,350.34M,313.06M,352M,371.89M
EPS (Basic),1.04,1.1,0.99,1.11,1.18
EPS (Basic) Growth,-,6.12%,-10.35%,12.79%,5.69%
Basic Shares Outstanding,319.53M,318.64M,317.6M,316.6M,316.47M
EPS (Diluted),1.03,1.1,0.98,1.11,1.17
EPS (Diluted) Growth,-,6.04%,-10.40%,12.90%,5.73%
Diluted Shares Outstanding,320.04M,319.37M,318.5M,317.2M,316.96M
EBITDA,846.3M,890.9M,827.5M,898.7M,955.5M
EBITDA Growth,-,5.27%,-7.12%,8.60%,6.32%
EBITDA Margin,-,-,-,-,27.99%
