Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,4.65B,4.69B,4.84B,4.81B,5.26B
Sales Growth,-,0.97%,3.05%,-0.58%,9.38%
Total Investment Income,(4M),-,10M,(12M),(5M)
Sundry Revenue/Income,245M,152M,125M,176M,265M
Trading Account Income,955M,964M,1.02B,963M,885M
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,1.38B,1.42B,1.41B,1.36B,1.4B
Total Expense,2.83B,2.58B,2.71B,2.86B,2.76B
Total Interest Expense,100M,102M,106M,112M,128M
Depreciation & Amortization Expense,289M,293M,299M,304M,313M
Other Operating Expense,1.62B,1.61B,1.72B,1.88B,1.85B
Operating Income,1.82B,2.11B,2.13B,1.95B,2.5B
Operating Income Growth,-,16.16%,0.76%,-8.36%,27.93%
Non-Operating Income (Expense),-,-,-,-,-
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,-,-,-,-,94M
Pretax Income,1.72B,2.01B,2.02B,1.84B,2.27B
Pretax Income Growth,-,16.99%,0.60%,-9.10%,23.65%
Pretax Margin,-,-,-,-,40.60%
Income Taxes,454M,485M,443M,437M,481M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.27B,1.53B,1.58B,1.4B,1.79B
Minority Interest Expense,-,-,-,-,-
Net Income,1.27B,1.53B,1.58B,1.4B,1.79B
Net Income Growth,-,20.63%,3.54%,-11.27%,27.89%
Net Margin Growth,-,-,-,-,34.09%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.27B,1.53B,1.58B,1.4B,1.79B
Preferred Dividends,148M,120M,131M,124M,141M
Net Income Available to Common,1.12B,1.41B,1.45B,1.28B,1.65B
EPS (Basic),0.59,0.74,0.77,0.67,0.87
EPS (Basic) Growth,-,25.73%,2.85%,-11.89%,29.12%
Basic Shares Outstanding,1.89B,1.89B,1.89B,1.89B,1.9B
EPS (Diluted),0.59,0.74,0.76,0.67,0.87
EPS (Diluted) Growth,-,25.75%,2.83%,-11.93%,29.32%
Diluted Shares Outstanding,1.9B,1.9B,1.9B,1.91B,1.9B
