Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,311.35M,329.77M,348.21M,357.27M,369.17M
Sales Growth,-,5.92%,5.59%,2.60%,3.33%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,2.23M,1.07M,1.18M,1.09M,1.42M
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,278.02M,295.03M,310.42M,310.14M,317.36M
Total Interest Expense,34.98M,35.85M,35.98M,35.53M,36.93M
Depreciation & Amortization Expense,148.77M,155.91M,168.47M,166.7M,170.6M
Other Operating Expense,-,-,-,6.4M,7.4M
Operating Income,33.32M,34.74M,37.78M,47.13M,51.81M
Operating Income Growth,-,4.24%,8.77%,24.72%,9.94%
Non-Operating Income (Expense),11.86M,22.25M,123.56M,2.59M,(8.23M)
Non-Operating Interest Income,2M,700K,700K,700K,700K
Miscellaneous Non Operating Expense,108K,7.1M,86.34M,(3.53M),2.3M
Equity in Affiliates (Pretax),9.75M,14.45M,36.52M,5.41M,(11.23M)
Unusual Expense,(2.46M),1.57M,(934K),(765K),974K
Pretax Income,12.67M,19.57M,126.3M,14.95M,5.68M
Pretax Income Growth,-,54.45%,545.41%,-88.17%,-62.02%
Pretax Margin,-,-,-,-,12.58%
Income Taxes,135K,529K,156K,343K,312K
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,12.54M,19.04M,126.14M,14.6M,5.36M
Minority Interest Expense,815K,1.31M,8.68M,898K,280K
Net Income,11.72M,17.73M,117.46M,13.71M,5.08M
Net Income Growth,-,51.29%,562.46%,-88.33%,-62.90%
Net Margin Growth,-,-,-,-,1.38%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,11.72M,17.73M,117.46M,13.71M,5.08M
Preferred Dividends,1.06M,1.06M,1.06M,1.09M,1.11M
Net Income Available to Common,10.66M,16.67M,116.4M,12.61M,3.98M
EPS (Basic),0.04,0.06,0.38,0.04,0.01
EPS (Basic) Growth,-,55.56%,570.00%,-89.42%,-68.51%
Basic Shares Outstanding,296.59M,297.83M,310.2M,318.01M,318.35M
EPS (Diluted),0.04,0.06,0.37,0.04,0.01
EPS (Diluted) Growth,-,54.75%,565.34%,-89.28%,-68.61%
Diluted Shares Outstanding,297.54M,301.16M,315.83M,319.68M,319.57M
