Item,01-Jan-0001,31-Jul-2021,31-Oct-2021,31-Jan-2022,30-Apr-2022
Sales/Revenue,43.79B,41.12B,36.82B,35.72B,38.91B
Sales Growth,-,-6.11%,-10.45%,-2.99%,8.93%
Cost of Goods Sold (COGS) incl. D&A,-,28.05B,24.86B,24.46B,26.37B
COGS Growth,-,-,-11.37%,-1.59%,7.79%
COGS excluding D&A,-,27.34B,24.14B,23.73B,25.64B
Depreciation & Amortization Expense,-,711M,714M,734M,727M
Depreciation,-,-,-,-,-
Amortization of Intangibles,-,-,-,-,-
Gross Income,13.87B,13.07B,11.96B,11.26B,12.54B
Gross Income Growth,-,-5.73%,-8.48%,-5.91%,11.40%
Gross Profit Margin,-,-,-,-,32.23%
SG&A Expense,-,6.43B,6.17B,6.43B,6.61B
SGA Growth,-,-,-4.12%,4.26%,2.78%
Research & Development,-,-,-,-,-
Other SG&A,-,6.43B,6.17B,-,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,-,-,-,-,-
EBIT after Unusual Expense,-,-,-,-,-
Non Operating Income/Expense,-,-,-,-,-
Non-Operating Interest Income,-,5M,15M,18M,3M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,326M,341M,341M,372M
Interest Expense Growth,-,-,4.60%,0.00%,9.09%
Gross Interest Expense,-,326M,341M,341M,372M
Interest Capitalized,-,-,-,-,-
Pretax Income,6.83B,6.32B,5.47B,4.5B,5.56B
Pretax Income Growth,-,-7.51%,-13.44%,-17.68%,23.50%
Pretax Margin,-,-,-,-,14.29%
Income Tax,1.66B,1.51B,1.34B,1.15B,1.33B
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,5.17B,4.81B,4.13B,3.35B,4.23B
Minority Interest Expense,-,-,-,-,-
Net Income,-,4.81B,4.13B,3.35B,4.23B
Net Income Growth,-,-,-14.10%,-18.82%,26.22%
Net Margin Growth,-,-,-,-,10.87%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,4.81B,4.13B,3.35B,4.23B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,4.81B,4.13B,3.35B,4.23B
EPS (Basic),5.06,4.54,3.94,3.23,4.11
EPS (Basic) Growth,-,-10.15%,-13.37%,-17.96%,27.20%
Basic Shares Outstanding,1.02B,1.06B,1.05B,1.04B,1.03B
EPS (Diluted),-,4.53,3.92,3.21,4.09
EPS (Diluted) Growth,-,-,-13.37%,-18.04%,27.32%
Diluted Shares Outstanding,1.03B,1.06B,1.05B,1.04B,1.03B
EBITDA,-,7.35B,6.51B,5.56B,6.66B
EBITDA Growth,-,-,-11.44%,-14.60%,19.73%
EBITDA Margin,-,-,-,-,17.11%
