Item,30-Jun-2021,30-Sep-2021,31-Dec-2021,31-Mar-2022,30-Jun-2022
Sales/Revenue,1.18B,1.11B,1.15B,1.35B,1.24B
Sales Growth,-,-5.88%,3.37%,17.37%,-8.12%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,-,-,-,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,1.18B,1.11B,1.15B,1.35B,1.24B
Total Expense,504.5M,496.2M,515.6M,487.5M,487.5M
Total Interest Expense,41.7M,41.8M,41.9M,42.5M,39.9M
Depreciation & Amortization Expense,96.5M,96.2M,94.5M,91.9M,90.1M
Other Operating Expense,211.7M,198.6M,201.7M,185.2M,185.3M
Operating Income,674.7M,613.7M,631.7M,859.1M,749.7M
Operating Income Growth,-,-9.04%,2.93%,36.00%,-12.73%
Non-Operating Income (Expense),93.1M,524M,152.3M,99.7M,156.9M
Non-Operating Interest Income,62.4M,145.8M,67.8M,73.1M,286.9M
Miscellaneous Non Operating Expense,(25M),311.8M,17M,(46.7M),(217.3M)
Equity in Affiliates (Pretax),55.7M,66.4M,67.5M,73.3M,87.3M
Unusual Expense,-,-,(57.2M),-,-
Pretax Income,726.1M,1.1B,799.3M,916.3M,866.7M
Pretax Income Growth,-,50.93%,-27.06%,14.64%,-5.41%
Pretax Margin,-,-,-,-,71.94%
Income Taxes,215.5M,169.6M,174.1M,205.3M,204.2M
Income Tax - Current Domestic,-,-,-,-,-
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,(11.9M),(4.4M),(3.8M)
Consolidated Net Income,510.6M,926.3M,613.3M,706.6M,658.7M
Minority Interest Expense,300K,(200K),-,-,-
Net Income,510.3M,926.5M,613.3M,706.6M,658.7M
Net Income Growth,-,81.56%,-33.80%,15.21%,-6.78%
Net Margin Growth,-,-,-,-,53.24%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,510.3M,926.5M,613.3M,706.6M,658.7M
Preferred Dividends,-,-,-,4.6M,4.6M
Net Income Available to Common,510.3M,926.5M,613.3M,702M,654.1M
EPS (Basic),1.42,2.59,1.71,1.96,1.82
EPS (Basic) Growth,-,81.51%,-33.84%,14.45%,-6.83%
Basic Shares Outstanding,358.26M,358.36M,358.58M,358.61M,358.64M
EPS (Diluted),1.42,2.58,1.71,1.95,1.82
EPS (Diluted) Growth,-,81.51%,-33.81%,14.41%,-6.83%
Diluted Shares Outstanding,358.89M,358.99M,359.02M,359.18M,359.21M
